N	Total Time	Average CPE
1	370	370.00
2	120	60.00
3	120	40.00
4	120	30.00
5	124	24.80
6	131	21.83
7	142	20.29
8	606	75.75
9	1097	121.89
10	231	23.10
11	307	27.91
12	296	24.67
13	287	22.08
14	280	20.00
15	288	19.20
16	246	15.38
17	542	31.88
18	522	29.00
19	520	27.37
20	525	26.25
21	525	25.00
22	537	24.41
23	546	23.74
24	550	22.92
25	559	22.36
26	568	21.85
27	575	21.30
28	584	20.86
29	589	20.31
30	597	19.90
31	608	19.61
32	612	19.12
33	862	26.12
34	844	24.82
35	849	24.26
36	854	23.72
37	868	23.46
38	874	23.00
39	1047	26.85
40	1360	34.00
41	1349	32.90
42	3783	90.07
43	1390	32.33
44	1443	32.80
45	1227	27.27
46	1181	25.67
47	1334	28.38
48	877	18.27
49	890	18.16
50	894	17.88
51	905	17.75
52	916	17.62
53	941	17.75
54	950	17.59
55	2299	41.80
56	883	15.77
57	840	14.74
58	856	14.76
59	853	14.46
60	853	14.22
61	870	14.26
62	873	14.08
63	879	13.95
64	886	13.84
65	1058	16.28
66	1047	15.86
67	1043	15.57
68	1055	15.51
69	1056	15.30
70	1059	15.13
71	1080	15.21
72	1073	14.90
73	1162	15.92
74	1088	14.70
75	1093	14.57
76	1099	14.46
77	1807	23.47
78	1152	14.77
79	1113	14.09
80	1125	14.06
81	1348	16.64
82	1849	22.55
83	1208	14.55
84	1184	14.10
85	1186	13.95
86	1192	13.86
87	1196	13.75
88	1210	13.75
89	1214	13.64
90	1216	13.51
91	1221	13.42
92	1229	13.36
93	1239	13.32
94	1248	13.28
95	1252	13.18
96	1252	13.04
97	1265	13.04
98	1264	12.90
99	1284	12.97
100	1911	19.11
101	1286	12.73
102	1300	12.75
103	1307	12.69
104	1306	12.56
105	1309	12.47
106	1321	12.46
107	1328	12.41
108	1343	12.44
109	1349	12.38
110	1353	12.30
111	1360	12.25
112	1360	12.14
113	1368	12.11
114	1368	12.00
115	1382	12.02
116	2439	21.03
117	1833	15.67
118	2226	18.86
119	1463	12.29
120	1468	12.23
121	1475	12.19
122	1495	12.25
123	1503	12.22
124	1515	12.22
125	1520	12.16
126	1518	12.05
127	1542	12.14
128	1530	11.95
129	2211	17.14
130	1839	14.15
131	1844	14.08
132	1852	14.03
133	1857	13.96
134	1841	13.74
135	1838	13.61
136	1861	13.68
137	1857	13.55
138	1857	13.46
139	1872	13.47
140	1874	13.39
141	1886	13.38
142	1883	13.26
143	1899	13.28
144	1895	13.16
145	1908	13.16
146	1941	13.29
147	1951	13.27
148	1948	13.16
149	3436	23.06
150	2972	19.81
151	2024	13.40
152	2025	13.32
153	2039	13.33
154	2041	13.25
155	2051	13.23
156	2058	13.19
157	2067	13.17
158	2074	13.13
159	2082	13.09
160	2081	13.01
161	2090	12.98
162	2094	12.93
163	2100	12.88
164	2106	12.84
165	2124	12.87
166	2124	12.80
167	2126	12.73
168	2134	12.70
169	2135	12.63
170	2157	12.69
171	2156	12.61
172	2161	12.56
173	2172	12.55
174	2177	12.51
175	2189	12.51
176	2357	13.39
177	2188	12.36
178	2196	12.34
179	2211	12.35
180	2221	12.34
181	2222	12.28
182	2222	12.21
183	2228	12.17
184	2238	12.16
185	2245	12.14
186	2255	12.12
187	2257	12.07
188	2277	12.11
189	2317	12.26
190	2409	12.68
191	5223	27.35
192	2279	11.87
193	2299	11.91
194	2305	11.88
195	2303	11.81
196	2320	11.84
197	2323	11.79
198	2329	11.76
199	2327	11.69
200	4443	22.21
201	3440	17.11
202	2428	12.02
203	2480	12.22
204	2571	12.60
205	2610	12.73
206	2608	12.66
207	2557	12.35
208	2567	12.34
209	2567	12.28
210	2574	12.26
211	2638	12.50
212	2549	12.02
213	2625	12.32
214	2602	12.16
215	2611	12.14
216	2593	12.00
217	2595	11.96
218	2646	12.14
219	2972	13.57
220	3772	17.15
221	2554	11.56
222	2483	11.18
223	2843	12.75
224	3976	17.75
225	6325	28.11
226	3010	13.32
227	2510	11.06
228	2560	11.23
229	2631	11.49
230	2861	12.44
231	2792	12.09
232	2700	11.64
233	2678	11.49
234	4145	17.71
235	2576	10.96
236	2601	11.02
237	2629	11.09
238	2825	11.87
239	2591	10.84
240	2573	10.72
241	2589	10.74
242	2612	10.79
243	2600	10.70
244	2625	10.76
245	3890	15.88
246	5258	21.37
247	5211	21.10
248	5033	20.29
249	4027	16.17
250	4408	17.63
251	3970	15.82
252	4529	17.97
253	4804	18.99
254	6625	26.08
255	3135	12.29
256	3838	14.99
257	3061	11.91
258	3184	12.34
259	3036	11.72
260	3039	11.69
261	3885	14.89
262	3133	11.96
263	3130	11.90
264	3069	11.62
265	3082	11.63
266	3220	12.11
267	3091	11.58
268	3206	11.96
269	3100	11.52
270	3669	13.59
271	3170	11.70
272	6264	23.03
273	3801	13.92
274	3194	11.66
275	3200	11.64
276	3226	11.69
277	3233	11.67
278	3234	11.63
279	3236	11.60
280	3245	11.59
281	3249	11.56
282	3267	11.59
283	4677	16.53
284	3227	11.36
285	3715	13.04
286	3312	11.58
287	3411	11.89
288	3493	12.13
289	3653	12.64
290	3513	12.11
291	3407	11.71
292	3521	12.06
293	3623	12.37
294	3499	11.90
295	3528	11.96
296	3544	11.97
297	3584	12.07
298	3467	11.63
299	3582	11.98
300	6455	21.52
301	5218	17.34
302	5402	17.89
303	3383	11.17
304	4149	13.65
305	3912	12.83
306	3352	10.95
307	3368	10.97
308	3392	11.01
309	3389	10.97
310	3406	10.99
311	3408	10.96
312	3410	10.93
313	3412	10.90
314	3418	10.89
315	3423	10.87
316	3421	10.83
317	3434	10.83
318	3437	10.81
319	3445	10.80
320	3454	10.79
321	3470	10.81
322	3467	10.77
323	3464	10.72
324	3494	10.78
325	3494	10.75
326	3498	10.73
327	3501	10.71
328	3518	10.73
329	3510	10.67
330	3530	10.70
331	3542	10.70
332	3547	10.68
333	3547	10.65
334	3560	10.66
335	3564	10.64
336	3587	10.68
337	3577	10.61
338	5516	16.32
339	3616	10.67
340	3625	10.66
341	3636	10.66
342	3650	10.67
343	3655	10.66
344	3655	10.62
345	3650	10.58
346	6337	18.32
347	3638	10.48
348	3650	10.49
349	3650	10.46
350	3663	10.47
351	3674	10.47
352	3674	10.44
353	3688	10.45
354	3696	10.44
355	3707	10.44
356	3709	10.42
357	3728	10.44
358	3738	10.44
359	6420	17.88
360	6595	18.32
361	5624	15.58
362	5246	14.49
363	4079	11.24
364	4665	12.82
365	3733	10.23
366	3757	10.27
367	3803	10.36
368	3756	10.21
369	6934	18.79
370	5537	14.96
371	4283	11.54
372	3854	10.36
373	6436	17.25
374	4049	10.83
375	3899	10.40
376	3897	10.36
377	3911	10.37
378	3944	10.43
379	4936	13.02
380	6390	16.82
381	6419	16.85
382	6439	16.86
383	6416	16.75
384	6451	16.80
385	6505	16.90
386	6669	17.28
387	6500	16.80
388	6644	17.12
389	6787	17.45
390	6534	16.75
391	6685	17.10
392	6751	17.22
393	6809	17.33
394	6618	16.80
395	6705	16.97
396	4497	11.36
397	4024	10.14
398	4064	10.21
399	4048	10.15
400	7517	18.79
401	6842	17.06
402	6743	16.77
403	6765	16.79
404	6752	16.71
405	6820	16.84
406	4089	10.07
407	4103	10.08
408	4123	10.11
409	4125	10.09
410	4111	10.03
411	4120	10.02
412	5240	12.72
413	4587	11.11
414	4092	9.88
415	4099	9.88
416	4108	9.88
417	4117	9.87
418	4117	9.85
419	4126	9.85
420	4128	9.83
421	4129	9.81
422	4204	9.96
423	4157	9.83
424	4148	9.78
425	4159	9.79
426	4171	9.79
427	4193	9.82
428	4195	9.80
429	4180	9.74
430	4187	9.74
431	4204	9.75
432	4206	9.74
433	4211	9.73
434	4221	9.73
435	4305	9.90
436	4249	9.75
437	4252	9.73
438	4250	9.70
439	4242	9.66
440	4258	9.68
441	4268	9.68
442	4288	9.70
443	5494	12.40
444	5793	13.05
445	7038	15.82
446	7114	15.95
447	7267	16.26
448	6168	13.77
449	5555	12.37
