N	Total Time	Average CPE
1	177	177.00
2	170	85.00
3	195	65.00
4	210	52.50
5	230	46.00
6	254	42.33
7	272	38.86
8	219	27.38
9	189	21.00
10	194	19.40
11	205	18.64
12	214	17.83
13	224	17.23
14	233	16.64
15	273	18.20
16	418	26.12
17	657	38.65
18	564	31.33
19	539	28.37
20	507	25.35
21	518	24.67
22	540	24.55
23	544	23.65
24	553	23.04
25	563	22.52
26	572	22.00
27	585	21.67
28	593	21.18
29	601	20.72
30	639	21.30
31	644	20.77
32	659	20.59
33	951	28.82
34	942	27.71
35	946	27.03
36	955	26.53
37	963	26.03
38	974	25.63
39	995	25.51
40	1018	25.45
41	1028	25.07
42	1040	24.76
43	1049	24.40
44	1058	24.05
45	1075	23.89
46	1098	23.87
47	1115	23.72
48	1121	23.35
49	1133	23.12
50	1142	22.84
51	1153	22.61
52	1148	22.08
53	1174	22.15
54	1187	21.98
55	1195	21.73
56	1204	21.50
57	1213	21.28
58	1224	21.10
59	1232	20.88
60	1244	20.73
61	1254	20.56
62	1263	20.37
63	1265	20.08
64	1270	19.84
65	1595	24.54
66	1583	23.98
67	1583	23.63
68	1628	23.94
69	1608	23.30
70	1621	23.16
71	2200	30.99
72	1591	22.10
73	1592	21.81
74	1614	21.81
75	1611	21.48
76	1629	21.43
77	1668	21.66
78	1675	21.47
79	1677	21.23
80	1695	21.19
81	1690	20.86
82	1709	20.84
83	1717	20.69
84	1729	20.58
85	1737	20.44
86	1750	20.35
87	2314	26.60
88	1714	19.48
89	1728	19.42
90	1739	19.32
91	1749	19.22
92	1922	20.89
93	2693	28.96
94	1801	19.16
95	1782	18.76
96	1782	18.56
97	1798	18.54
98	1810	18.47
99	1816	18.34
100	3822	38.22
101	1825	18.07
102	1835	17.99
103	1841	17.87
104	1849	17.78
105	1856	17.68
106	1866	17.60
107	2442	22.82
108	1870	17.31
109	1895	17.39
110	1904	17.31
111	1910	17.21
112	1922	17.16
113	1930	17.08
114	1939	17.01
115	1957	17.02
116	1960	16.90
117	1970	16.84
118	1976	16.75
119	1991	16.73
120	1994	16.62
121	2006	16.58
122	2018	16.54
123	2026	16.47
124	2033	16.40
125	2044	16.35
126	2056	16.32
127	2065	16.26
128	2075	16.21
129	2896	22.45
130	2363	18.18
131	2367	18.07
132	2576	19.52
133	2355	17.71
134	2354	17.57
135	2374	17.59
136	2383	17.52
137	2393	17.47
138	4477	32.44
139	4104	29.53
140	3021	21.58
141	3946	27.99
142	3885	27.36
143	2505	17.52
144	3517	24.42
145	3541	24.42
146	2448	16.77
147	3634	24.72
148	2543	17.18
149	2545	17.08
150	2558	17.05
151	2564	16.98
152	2577	16.95
153	2585	16.90
154	2597	16.86
155	2603	16.79
156	2611	16.74
157	2621	16.69
158	2636	16.68
159	2637	16.58
160	3920	24.50
161	2575	15.99
162	2583	15.94
163	2593	15.91
164	2605	15.88
165	2618	15.87
166	2626	15.82
167	2643	15.83
168	3422	20.37
169	2818	16.67
170	2727	16.04
171	2732	15.98
172	2748	15.98
173	2750	15.90
174	3727	21.42
175	4161	23.78
176	2726	15.49
177	2736	15.46
178	3296	18.52
179	2877	16.07
180	2834	15.74
181	2849	15.74
182	2855	15.69
183	2864	15.65
184	2927	15.91
185	2979	16.10
186	2926	15.73
187	3503	18.73
188	3002	15.97
189	3457	18.29
190	3280	17.26
191	2932	15.35
192	2967	15.45
193	3003	15.56
194	3045	15.70
195	3064	15.71
196	3053	15.58
197	3070	15.58
198	3058	15.44
199	3082	15.49
200	3410	17.05
201	3109	15.47
202	3101	15.35
203	3096	15.25
204	3124	15.31
205	3114	15.19
206	3130	15.19
207	3131	15.13
208	3154	15.16
209	3148	15.06
210	3157	15.03
211	3187	15.10
212	3176	14.98
213	3187	14.96
214	12819	59.90
215	6161	28.66
216	7750	35.88
217	4788	22.06
218	3286	15.07
219	3262	14.89
220	3278	14.90
221	3271	14.80
222	3290	14.82
223	3288	14.74
224	3301	14.74
225	3306	14.69
226	3319	14.69
227	3943	17.37
228	3769	16.53
229	3907	17.06
230	3356	14.59
231	3360	14.55
232	3391	14.62
233	3379	14.50
234	3391	14.49
235	3398	14.46
236	3423	14.50
237	3417	14.42
238	3428	14.40
239	3446	14.42
240	3444	14.35
241	3464	14.37
242	4938	20.40
243	3564	14.67
244	3570	14.63
245	3575	14.59
246	3583	14.57
247	3599	14.57
248	3605	14.54
249	3608	14.49
250	3626	14.50
251	3633	14.47
252	3643	14.46
253	3655	14.45
254	3665	14.43
255	3675	14.41
256	5171	20.20
257	5983	23.28
258	6030	23.37
259	3980	15.37
260	4583	17.63
261	3943	15.11
262	3915	14.94
263	3968	15.09
264	3967	15.03
265	3978	15.01
266	4609	17.33
267	4997	18.72
268	4737	17.68
269	4924	18.30
270	5641	20.89
271	6355	23.45
272	5711	21.00
273	4079	14.94
274	4052	14.79
275	4060	14.76
276	4072	14.75
277	4078	14.72
278	4361	15.69
279	4098	14.69
280	4106	14.66
281	4149	14.77
282	4166	14.77
283	5549	19.61
284	5443	19.17
285	5518	19.36
286	5414	18.93
287	5521	19.24
288	5752	19.97
289	5841	20.21
290	6399	22.07
291	6781	23.30
292	6554	22.45
293	11314	38.61
294	9630	32.76
295	5636	19.11
296	6133	20.72
297	4375	14.73
298	4434	14.88
299	4380	14.65
300	5089	16.96
301	4399	14.61
302	5700	18.87
303	4304	14.20
304	4349	14.31
305	4364	14.31
306	4356	14.24
307	4381	14.27
308	4390	14.25
309	4771	15.44
310	5463	17.62
311	6498	20.89
312	6783	21.74
313	6025	19.25
314	4639	14.77
315	4475	14.21
316	4459	14.11
317	4459	14.07
318	4463	14.03
319	4479	14.04
320	4485	14.02
321	5069	15.79
322	4558	14.16
323	4601	14.24
324	4974	15.35
325	4932	15.18
326	4861	14.91
327	4840	14.80
328	4912	14.98
329	4841	14.71
330	4819	14.60
331	4614	13.94
332	4631	13.95
333	4640	13.93
334	4655	13.94
335	4667	13.93
336	4664	13.88
337	4678	13.88
338	4687	13.87
339	4697	13.86
340	8031	23.62
341	4702	13.79
342	4692	13.72
343	4719	13.76
344	4738	13.77
345	4742	13.74
346	4753	13.74
347	7082	20.41
348	7071	20.32
349	4778	13.69
350	7087	20.25
351	7599	21.65
352	8571	24.35
353	8865	25.11
354	4802	13.56
355	4811	13.55
356	4819	13.54
357	4829	13.53
358	4863	13.58
359	5179	14.43
360	4880	13.56
361	4898	13.57
362	4905	13.55
363	4917	13.55
364	4911	13.49
365	5626	15.41
366	6425	17.55
367	6353	17.31
368	5092	13.84
369	5159	13.98
370	5313	14.36
371	5333	14.37
372	5301	14.25
373	5549	14.88
374	5252	14.04
375	5304	14.14
376	5207	13.85
377	17221	45.68
378	5022	13.29
379	5015	13.23
380	5049	13.29
381	5060	13.28
382	5080	13.30
383	5073	13.25
384	5079	13.23
385	5089	13.22
386	5102	13.22
387	5111	13.21
388	7843	20.21
389	5962	15.33
390	7450	19.10
391	6223	15.92
392	5147	13.13
393	5175	13.17
394	5184	13.16
395	5190	13.14
396	5179	13.08
397	5537	13.95
398	5163	12.97
399	5176	12.97
400	5653	14.13
401	5180	12.92
402	5197	12.93
403	5200	12.90
404	5215	12.91
405	5222	12.89
406	5232	12.89
407	5238	12.87
408	5267	12.91
409	5265	12.87
410	5284	12.89
411	5311	12.92
412	5308	12.88
413	5324	12.89
414	5327	12.87
415	5336	12.86
416	5350	12.86
417	5361	12.86
418	5369	12.84
419	5378	12.84
420	5388	12.83
421	5769	13.70
422	5698	13.50
423	5454	12.89
424	5430	12.81
425	6438	15.15
426	9383	22.03
427	7005	16.41
428	28714	67.09
429	9047	21.09
430	6552	15.24
431	391824	909.10
432	9345	21.63
433	9227	21.31
434	9231	21.27
435	8999	20.69
