N	Total Time	Average CPE
1	397	397.00
2	120	60.00
3	134	44.67
4	146	36.50
5	158	31.60
6	170	28.33
7	169	24.14
8	1254	156.75
9	138	15.33
10	143	14.30
11	149	13.55
12	153	12.75
13	160	12.31
14	167	11.93
15	175	11.67
16	181	11.31
17	1681	98.88
18	453	25.17
19	452	23.79
20	452	22.60
21	459	21.86
22	464	21.09
23	468	20.35
24	478	19.92
25	483	19.32
26	490	18.85
27	497	18.41
28	503	17.96
29	511	17.62
30	516	17.20
31	523	16.87
32	530	16.56
33	692	20.97
34	680	20.00
35	783	22.37
36	682	18.94
37	688	18.59
38	694	18.26
39	713	18.28
40	706	17.65
41	716	17.46
42	720	17.14
43	731	17.00
44	734	16.68
45	740	16.44
46	747	16.24
47	770	16.38
48	771	16.06
49	773	15.78
50	783	15.66
51	786	15.41
52	795	15.29
53	818	15.43
54	828	15.33
55	835	15.18
56	840	15.00
57	853	14.96
58	866	14.93
59	867	14.69
60	868	14.47
61	879	14.41
62	1207	19.47
63	895	14.21
64	894	13.97
65	1076	16.55
66	1063	16.11
67	1073	16.01
68	1064	15.65
69	1067	15.46
70	1074	15.34
71	1078	15.18
72	1088	15.11
73	1116	15.29
74	1146	15.49
75	1105	14.73
76	1101	14.49
77	1124	14.60
78	1172	15.03
79	1255	15.89
80	1141	14.26
81	1144	14.12
82	1181	14.40
83	1757	21.17
84	1447	17.23
85	1205	14.18
86	1204	14.00
87	1210	13.91
88	1220	13.86
89	1220	13.71
90	1222	13.58
91	1233	13.55
92	1242	13.50
93	1233	13.26
94	1255	13.35
95	1262	13.28
96	1265	13.18
97	1274	13.13
98	1277	13.03
99	1289	13.02
100	1294	12.94
101	1300	12.87
102	1312	12.86
103	1312	12.74
104	1320	12.69
105	1326	12.63
106	1329	12.54
107	1506	14.07
108	1575	14.58
109	1353	12.41
110	1357	12.34
111	1368	12.32
112	1382	12.34
113	1376	12.18
114	1370	12.02
115	1385	12.04
116	1395	12.03
117	1404	12.00
118	1407	11.92
119	1415	11.89
120	1432	11.93
121	1444	11.93
122	1452	11.90
123	1468	11.93
124	1477	11.91
125	1482	11.86
126	1445	11.47
127	1474	11.61
128	1470	11.48
129	2775	21.51
130	1779	13.68
131	3782	28.87
132	2574	19.50
133	2691	20.23
134	2725	20.34
135	2627	19.46
136	2723	20.02
137	2741	20.01
138	2778	20.13
139	2923	21.03
140	2799	19.99
141	2793	19.81
142	1965	13.84
143	2000	13.99
144	2057	14.28
145	1955	13.48
146	1992	13.64
147	1988	13.52
148	1992	13.46
149	2001	13.43
150	2018	13.45
151	2026	13.42
152	4969	32.69
153	2592	16.94
154	2045	13.28
155	2062	13.30
156	2040	13.08
157	2049	13.05
158	2063	13.06
159	2056	12.93
160	2091	13.07
161	2091	12.99
162	2097	12.94
163	2089	12.82
