N	Total Time	Average CPE
1	115	115.00
2	105	52.50
3	110	36.67
4	123	30.75
5	134	26.80
6	146	24.33
7	155	22.14
8	165	20.62
9	184	20.44
10	270	27.00
11	269	24.45
12	250	20.83
13	210	16.15
14	220	15.71
15	254	16.93
16	256	16.00
17	471	27.71
18	469	26.06
19	464	24.42
20	463	23.15
21	472	22.48
22	486	22.09
23	492	21.39
24	502	20.92
25	514	20.56
26	521	20.04
27	532	19.70
28	544	19.43
29	548	18.90
30	577	19.23
31	586	18.90
32	593	18.53
33	865	26.21
34	868	25.53
35	863	24.66
36	865	24.03
37	882	23.84
38	888	23.37
39	896	22.97
40	904	22.60
41	916	22.34
42	929	22.12
43	931	21.65
44	947	21.52
45	953	21.18
46	988	21.48
47	989	21.04
48	1007	20.98
49	1014	20.69
50	1022	20.44
51	1026	20.12
52	1038	19.96
53	1048	19.77
54	1061	19.65
55	1064	19.35
56	1077	19.23
57	1081	18.96
58	1096	18.90
59	1108	18.78
60	1117	18.62
61	1128	18.49
62	1136	18.32
63	1138	18.06
64	1147	17.92
65	1462	22.49
66	1452	22.00
67	1457	21.75
68	1458	21.44
69	1468	21.28
70	1482	21.17
71	1499	21.11
72	1506	20.92
73	1521	20.84
74	1528	20.65
75	1544	20.59
76	1554	20.45
77	1593	20.69
78	1608	20.62
79	1599	20.24
80	3423	42.79
81	2381	29.40
82	1617	19.72
83	1622	19.54
84	1630	19.40
85	1640	19.29
86	2881	33.50
87	1662	19.10
88	1670	18.98
89	1679	18.87
90	3972	44.13
91	1773	19.48
92	1990	21.63
93	1812	19.48
94	1819	19.35
95	1831	19.27
96	1844	19.21
97	1849	19.06
98	1860	18.98
99	1873	18.92
100	2767	27.67
101	1789	17.71
102	1797	17.62
103	1806	17.53
104	1819	17.49
105	1826	17.39
106	1828	17.25
107	1844	17.23
108	1850	17.13
109	1863	17.09
110	1872	17.02
111	1884	16.97
112	3798	33.91
113	1908	16.88
114	1921	16.85
115	1923	16.72
116	1934	16.67
117	1944	16.62
118	1955	16.57
119	1961	16.48
120	1977	16.48
121	2088	17.26
122	2077	17.02
123	2086	16.96
124	2098	16.92
125	2108	16.86
126	2112	16.76
127	2124	16.72
128	2131	16.65
129	3022	23.43
130	2414	18.57
131	2404	18.35
132	2412	18.27
133	2415	18.16
134	2424	18.09
135	2444	18.10
136	2443	17.96
137	5122	37.39
138	2385	17.28
139	2380	17.12
140	2389	17.06
141	2449	17.37
142	2450	17.25
143	2468	17.26
144	2468	17.14
145	2488	17.16
146	2495	17.09
147	2500	17.01
148	2513	16.98
149	2537	17.03
150	2942	19.61
151	3083	20.42
152	2554	16.80
153	2719	17.77
154	2625	17.05
155	3262	21.05
156	2776	17.79
157	2576	16.41
158	3124	19.77
159	2689	16.91
160	2692	16.82
161	2707	16.81
162	2698	16.65
163	2714	16.65
164	2740	16.71
165	2734	16.57
166	2762	16.64
167	2754	16.49
168	2776	16.52
169	2792	16.52
170	2812	16.54
171	2848	16.65
172	2814	16.36
173	2815	16.27
174	2818	16.20
175	2830	16.17
176	2844	16.16
177	2944	16.63
178	2910	16.35
179	2872	16.04
180	2873	15.96
181	2887	15.95
182	2916	16.02
183	2918	15.95
184	2925	15.90
185	2941	15.90
186	2942	15.82
187	2956	15.81
188	2967	15.78
189	2966	15.69
190	2988	15.73
191	2996	15.69
192	3019	15.72
193	3042	15.76
194	3043	15.69
195	3095	15.87
196	3162	16.13
197	3197	16.23
198	3223	16.28
199	3232	16.24
200	3245	16.23
