N	Total Time	Average CPE
1	362	362.00
2	120	60.00
3	120	40.00
4	120	30.00
5	126	25.20
6	133	22.17
7	141	20.14
8	193	24.12
9	192	21.33
10	312	31.20
11	204	18.55
12	180	15.00
13	189	14.54
14	192	13.71
15	200	13.33
16	207	12.94
17	547	32.18
18	521	28.94
19	643	33.84
20	523	26.15
21	527	25.10
22	536	24.36
23	543	23.61
24	552	23.00
25	558	22.32
26	568	21.85
27	572	21.19
28	581	20.75
29	589	20.31
30	597	19.90
31	605	19.52
32	612	19.12
33	861	26.09
34	845	24.85
35	849	24.26
36	857	23.81
37	866	23.41
38	871	22.92
39	879	22.54
40	887	22.18
41	867	21.15
42	878	20.90
43	887	20.63
44	893	20.30
45	901	20.02
46	907	19.72
47	917	19.51
48	925	19.27
49	1001	20.43
50	941	18.82
51	947	18.57
52	957	18.40
53	990	18.68
54	998	18.48
55	1002	18.22
56	2047	36.55
57	1017	17.84
58	1021	17.60
59	1030	17.46
60	1039	17.32
61	1046	17.15
62	1049	16.92
63	1063	16.87
64	1064	16.62
65	1437	22.11
66	1429	21.65
67	1437	21.45
68	1427	20.99
69	1435	20.80
70	1447	20.67
71	1452	20.45
72	1456	20.22
73	1468	20.11
74	1478	19.97
75	1486	19.81
76	1480	19.47
77	4074	52.91
78	1320	16.92
79	1279	16.19
80	1288	16.10
81	1295	15.99
82	1490	18.17
83	1377	16.59
84	1351	16.08
85	1359	15.99
86	1377	16.01
87	2570	29.54
88	1390	15.80
89	1391	15.63
90	1404	15.60
91	1404	15.43
92	1411	15.34
93	1558	16.75
94	1262	13.43
95	1232	12.97
96	1239	12.91
97	1245	12.84
98	1252	12.78
99	1261	12.74
100	1631	16.31
101	1270	12.57
102	1276	12.51
103	1284	12.47
104	1295	12.45
105	1298	12.36
106	1316	12.42
107	1316	12.30
108	1327	12.29
109	1320	12.11
110	1328	12.07
111	1337	12.05
112	1347	12.03
113	1373	12.15
114	1372	12.04
115	1378	11.98
116	1390	11.98
117	1382	11.81
118	1381	11.70
119	1388	11.66
120	1398	11.65
121	1401	11.58
122	1410	11.56
123	1419	11.54
124	3189	25.72
125	2326	18.61
126	2550	20.24
127	2616	20.60
128	2555	19.96
129	4394	34.06
130	3451	26.55
131	3478	26.55
132	3509	26.58
133	3551	26.70
134	3501	26.13
135	2332	17.27
136	1825	13.42
137	1806	13.18
138	1837	13.31
139	1866	13.42
140	1913	13.66
141	1954	13.86
142	1954	13.76
143	1952	13.65
144	4442	30.85
145	2302	15.88
146	1923	13.17
147	1942	13.21
148	1946	13.15
149	1954	13.11
150	1956	13.04
151	1972	13.06
152	1975	12.99
153	2349	15.35
154	1977	12.84
155	1995	12.87
156	1995	12.79
157	2007	12.78
158	1993	12.61
159	2018	12.69
160	2413	15.08
161	2072	12.87
162	2092	12.91
163	2089	12.82
164	2089	12.74
165	2080	12.61
166	2090	12.59
167	2115	12.66
168	2096	12.48
169	2113	12.50
170	2129	12.52
171	2120	12.40
172	2141	12.45
173	2159	12.48
174	2154	12.38
175	2167	12.38
176	2160	12.27
177	2168	12.25
178	2183	12.26
179	2184	12.20
180	2198	12.21
181	2183	12.06
182	2192	12.04
183	3542	19.36
184	2155	11.71
185	2187	11.82
186	2216	11.91
187	2204	11.79
