N	Total Time	Average CPE
1	382	382.00
2	33	16.50
3	129	43.00
4	56	14.00
5	143	28.60
6	219	36.50
7	167	23.86
8	255	31.88
9	199	22.11
10	836	83.60
11	379	34.45
12	433	36.08
13	304	23.38
14	437	31.21
15	439	29.27
16	458	28.62
17	483	28.41
18	573	31.83
19	619	32.58
20	454	22.70
21	297	14.14
22	312	14.18
23	328	14.26
24	337	14.04
25	351	14.04
26	372	14.31
27	376	13.93
28	750	26.79
29	781	26.93
30	854	28.47
31	878	28.32
32	964	30.12
33	905	27.42
34	1415	41.62
35	571	16.31
36	499	13.86
37	511	13.81
38	530	13.95
39	534	13.69
40	561	14.03
41	565	13.78
42	576	13.71
43	594	13.81
44	602	13.68
45	623	13.84
46	637	13.85
47	649	13.81
48	661	13.77
49	685	13.98
50	684	13.68
51	699	13.71
52	711	13.67
53	732	13.81
54	747	13.83
55	748	13.60
56	772	13.79
57	788	13.82
58	789	13.60
59	805	13.64
60	825	13.75
61	827	13.56
62	840	13.55
63	858	13.62
64	879	13.73
65	890	13.69
66	913	13.83
67	912	13.61
68	927	13.63
69	945	13.70
70	958	13.69
71	962	13.55
72	996	13.83
73	992	13.59
74	1004	13.57
75	1029	13.72
76	1047	13.78
77	1747	22.69
78	1184	15.18
79	1074	13.59
80	1095	13.69
81	1089	13.44
82	1111	13.55
83	1136	13.69
84	1144	13.62
85	1165	13.71
86	1173	13.64
87	1185	13.62
88	1201	13.65
89	1223	13.74
90	1215	13.50
91	1232	13.54
92	1263	13.73
93	1266	13.61
94	1288	13.70
95	1282	13.49
96	1307	13.61
97	1313	13.54
98	1338	13.65
99	1336	13.49
100	2074	20.74
101	1440	14.26
102	1400	13.73
103	1393	13.52
104	1421	13.66
105	1418	13.50
106	1441	13.59
107	1448	13.53
108	1466	13.57
109	1469	13.48
110	1494	13.58
111	1514	13.64
112	1509	13.47
113	1529	13.53
114	1541	13.52
115	1563	13.59
116	1564	13.48
117	1593	13.62
118	1601	13.57
119	1601	13.45
120	1619	13.49
121	1620	13.39
122	1657	13.58
123	1666	13.54
124	1668	13.45
125	1937	15.50
126	1707	13.55
127	1714	13.50
128	1740	13.59
129	1742	13.50
130	1764	13.57
131	1783	13.61
132	1777	13.46
133	1806	13.58
134	1819	13.57
135	1812	13.42
136	1844	13.56
137	1858	13.56
138	1856	13.45
139	1881	13.53
140	1892	13.51
