N	Total Time	Average CPE
1	109	109.00
2	210	105.00
3	333	111.00
4	440	110.00
5	600	120.00
6	797	132.83
7	849	121.29
8	979	122.38
9	1092	121.33
10	1226	122.60
11	1370	124.55
12	1504	125.33
13	1633	125.62
14	1769	126.36
15	1898	126.53
16	2031	126.94
17	2153	126.65
18	2292	127.33
19	2423	127.53
20	2548	127.40
21	2679	127.57
22	2813	127.86
23	2943	127.96
24	3074	128.08
25	3208	128.32
26	3336	128.31
27	3471	128.56
28	3596	128.43
29	3733	128.72
30	3860	128.67
31	3994	128.84
32	4124	128.88
33	4258	129.03
34	4387	129.03
35	4520	129.14
36	4650	129.17
37	4780	129.19
38	5113	134.55
39	5044	129.33
40	5178	129.45
41	10017	244.32
42	6943	165.31
43	5596	130.14
44	5679	129.07
45	5804	128.98
46	5930	128.91
47	6064	129.02
48	6197	129.10
49	6322	129.02
50	6458	129.16
51	6582	129.06
52	7376	141.85
53	7674	144.79
54	7036	130.30
55	7519	136.71
56	7984	142.57
57	7436	130.46
58	7553	130.22
59	7686	130.27
60	7817	130.28
61	7935	130.08
62	8065	130.08
63	8200	130.16
64	8325	130.08
65	8831	135.86
66	8598	130.27
67	8722	130.18
68	8861	130.31
69	8995	130.36
70	9203	131.47
71	9249	130.27
72	9411	130.71
73	9513	130.32
74	10673	144.23
75	9789	130.52
76	9915	130.46
77	10038	130.36
78	10216	130.97
79	10566	133.75
80	10890	136.12
81	12361	152.60
82	10863	132.48
83	11793	142.08
84	11348	135.10
85	11388	133.98
86	12372	143.86
87	11172	128.41
88	11300	128.41
89	11569	129.99
90	11560	128.44
91	13379	147.02
92	11963	130.03
93	12292	132.17
94	14246	151.55
95	14042	147.81
96	15116	157.46
97	16452	169.61
98	21160	215.92
99	16251	164.15
100	15607	156.07
101	16393	162.31
102	16404	160.82
103	14536	141.13
104	32506	312.56
105	19249	183.32
106	16671	157.27
107	35166	328.65
108	17483	161.88
109	16086	147.58
110	14275	129.77
111	14218	128.09
112	14360	128.21
113	14866	131.56
114	16523	144.94
115	14794	128.64
116	14942	128.81
117	15105	129.10
118	15697	133.03
119	15230	127.98
120	15301	127.51
121	18672	154.31
122	15647	128.25
123	15818	128.60
124	15882	128.08
125	15999	127.99
126	16115	127.90
127	16227	127.77
128	16352	127.75
129	16534	128.17
130	16555	127.35
131	16686	127.37
132	17570	133.11
133	16864	126.80
134	16742	124.94
135	16845	124.78
136	16972	124.79
137	17083	124.69
138	17195	124.60
139	17310	124.53
140	17788	127.06
141	17561	124.55
142	17672	124.45
143	19069	133.35
144	18443	128.08
145	18322	126.36
146	20986	143.74
147	18695	127.18
148	18556	125.38
149	18665	125.27
150	20137	134.25
151	20507	135.81
152	19110	125.72
153	19589	128.03
154	21346	138.61
155	19933	128.60
156	19332	123.92
157	19808	126.17
158	20065	126.99
159	19938	125.40
160	20044	125.28
161	20144	125.12
162	20272	125.14
163	20408	125.20
164	20826	126.99
165	20922	126.80
166	21050	126.81
167	20947	125.43
168	21142	125.85
169	21053	124.57
170	21124	124.26
171	23390	136.78
172	23247	135.16
173	21727	125.59
174	21864	125.66
175	22048	125.99
176	21898	124.42
177	21738	122.81
178	22441	126.07
179	22500	125.70
180	22644	125.80
181	22763	125.76
182	24064	132.22
183	23052	125.97
184	23656	128.57
185	33727	182.31
186	28000	150.54
187	25945	138.74
188	23288	123.87
189	24119	127.61
190	24014	126.39
191	24169	126.54
192	24295	126.54
193	25079	129.94
194	24185	124.66
