N	Total Time	Average CPE
1	555	555.00
2	281	140.50
3	259	86.33
4	395	98.75
5	555	111.00
6	2807	467.83
7	605	86.43
8	768	96.00
9	791	87.89
10	774	77.40
11	1029	93.55
12	1171	97.58
13	1118	86.00
14	1117	79.79
15	1170	78.00
16	1330	83.12
17	1362	80.12
18	1434	79.67
19	1547	81.42
20	1085	54.25
21	482	22.95
22	508	23.09
23	538	23.39
24	569	23.71
25	587	23.48
26	614	23.62
27	639	23.67
28	1209	43.18
29	2484	85.66
30	2264	75.47
31	2363	76.23
32	2469	77.16
33	2860	86.67
34	2981	87.68
35	1112	31.77
36	855	23.75
37	892	24.11
38	907	23.87
39	932	23.90
40	964	24.10
41	973	23.73
42	1016	24.19
43	1033	24.02
44	1053	23.93
45	1080	24.00
46	1098	23.87
47	1126	23.96
48	1154	24.04
49	1184	24.16
50	1195	23.90
51	1235	24.22
52	1251	24.06
53	1278	24.11
54	1294	23.96
55	1323	24.05
56	1352	24.14
57	1368	24.00
58	1408	24.28
59	1423	24.12
60	1447	24.12
61	1475	24.18
62	1500	24.19
63	1527	24.24
64	1542	24.09
65	1568	24.12
66	1605	24.32
67	1614	24.09
68	1652	24.29
69	1676	24.29
70	1911	27.30
71	1292	18.20
72	1367	18.99
73	1342	18.38
74	1179	15.93
75	1211	16.15
76	1203	15.83
77	1231	15.99
78	1233	15.81
79	1256	15.90
80	1268	15.85
81	1287	15.89
82	1303	15.89
83	1323	15.94
84	1340	15.95
85	1352	15.91
86	1361	15.83
87	1383	15.90
88	1404	15.95
89	1449	16.28
90	1569	17.43
91	1996	21.93
92	1937	21.05
93	1468	15.78
94	1500	15.96
95	1501	15.80
96	1526	15.90
97	1581	16.30
98	1551	15.83
99	1575	15.91
100	1849	18.49
101	1594	15.78
102	1627	15.95
103	1640	15.92
104	1654	15.90
105	1655	15.76
106	1684	15.89
107	1697	15.86
108	1734	16.06
109	1734	15.91
110	1767	16.06
111	1787	16.10
112	1797	16.04
113	1805	15.97
114	1841	16.15
115	1848	16.07
116	1856	16.00
117	1845	15.77
118	1874	15.88
119	1880	15.80
120	1896	15.80
121	1898	15.69
122	1960	16.07
123	2008	16.33
124	1967	15.86
125	1977	15.82
126	2015	15.99
127	2022	15.92
128	2057	16.07
