N	Total Time	Average CPE
1	495	495.00
2	43	21.50
3	176	58.67
4	83	20.75
5	203	40.60
6	625	104.17
7	233	33.29
8	1278	159.75
9	292	32.44
10	349	34.90
11	308	28.00
12	396	33.00
13	325	25.00
14	402	28.71
15	857	57.13
16	462	28.88
17	470	27.65
18	541	30.06
19	551	29.00
20	449	22.45
21	295	14.05
22	306	13.91
23	318	13.83
24	341	14.21
25	344	13.76
26	360	13.85
27	379	14.04
28	684	24.43
29	725	25.00
30	859	28.63
31	864	27.87
32	949	29.66
33	872	26.42
34	974	28.65
35	565	16.14
36	489	13.58
37	513	13.86
38	514	13.53
39	538	13.79
40	555	13.88
41	555	13.54
42	571	13.60
43	584	13.58
44	599	13.61
45	617	13.71
46	631	13.72
47	640	13.62
48	658	13.71
49	685	13.98
50	675	13.50
51	697	13.67
52	711	13.67
53	729	13.75
54	735	13.61
55	743	13.51
56	769	13.73
57	782	13.72
58	790	13.62
59	801	13.58
60	819	13.65
61	825	13.52
62	827	13.34
63	858	13.62
64	861	13.45
65	879	13.52
66	905	13.71
67	895	13.36
68	916	13.47
69	941	13.64
70	945	13.50
71	956	13.46
72	977	13.57
73	981	13.44
74	995	13.45
75	1014	13.52
76	1024	13.47
77	1050	13.64
78	1043	13.37
79	1066	13.49
80	1078	13.47
81	1081	13.35
82	1100	13.41
83	1117	13.46
84	1948	23.19
85	1161	13.66
86	1142	13.28
87	1165	13.39
88	1169	13.28
89	1201	13.49
90	1205	13.39
91	1212	13.32
92	1237	13.45
93	1242	13.35
94	1265	13.46
95	1265	13.32
96	1280	13.33
97	1296	13.36
98	1309	13.36
99	1308	13.21
100	1340	13.40
101	2338	23.15
102	2223	21.79
103	1379	13.39
104	1401	13.47
105	1406	13.39
106	1652	15.58
107	1452	13.57
108	1901	17.60
109	2205	20.23
110	1475	13.41
111	1497	13.49
112	1491	13.31
113	1508	13.35
114	1525	13.38
115	1537	13.37
116	1546	13.33
117	1563	13.36
118	1593	13.50
119	1579	13.27
120	1603	13.36
