N	Total Time	Average CPE
1	451	451.00
2	103	51.50
3	114	38.00
4	132	33.00
5	146	29.20
6	167	27.83
7	184	26.29
8	1336	167.00
9	229	25.44
10	250	25.00
11	270	24.55
12	294	24.50
13	317	24.38
14	339	24.21
15	361	24.07
16	384	24.00
17	672	39.53
18	665	36.94
19	680	35.79
20	704	35.20
21	721	34.33
22	748	34.00
23	772	33.57
24	793	33.04
25	817	32.68
26	828	31.85
27	846	31.33
28	862	30.79
29	876	30.21
30	895	29.83
31	909	29.32
32	924	28.88
33	1249	37.85
34	1237	36.38
35	1254	35.83
36	1268	35.22
37	1286	34.76
38	1304	34.32
39	1318	33.79
40	1339	33.48
41	1199	29.24
42	1200	28.57
43	1215	28.26
44	1239	28.16
45	1260	28.00
46	1271	27.63
47	1292	27.49
48	1310	27.29
49	1324	27.02
50	1370	27.40
51	1386	27.18
52	1403	26.98
53	1421	26.81
54	1437	26.61
55	1454	26.44
56	1473	26.30
57	1495	26.23
58	1509	26.02
59	1532	25.97
60	2071	34.52
61	1597	26.18
62	1584	25.55
63	1714	27.21
64	1621	25.33
65	1947	29.95
66	1942	29.42
67	1964	29.31
68	1980	29.12
69	1999	28.97
70	2026	28.94
71	2043	28.77
72	2061	28.62
73	2133	29.22
74	2156	29.14
75	2176	29.01
76	2201	28.96
77	2219	28.82
78	2237	28.68
79	2262	28.63
80	2307	28.84
81	2323	28.68
82	2346	28.61
83	2368	28.53
84	2382	28.36
85	2409	28.34
86	2428	28.23
87	2454	28.21
88	2468	28.05
89	2500	28.09
90	2518	27.98
91	2541	27.92
92	2569	27.92
93	2583	27.77
94	2614	27.81
95	2635	27.74
96	2684	27.96
97	2696	27.79
98	2720	27.76
99	2746	27.74
100	6143	61.43
101	2702	26.75
102	2722	26.69
103	2744	26.64
104	2768	26.62
105	2792	26.59
106	2835	26.75
107	2888	26.99
108	2900	26.85
109	2922	26.81
110	2948	26.80
111	2968	26.74
112	2991	26.71
113	3022	26.74
114	3043	26.69
115	3072	26.71
116	3096	26.69
117	3453	29.51
118	3479	29.48
119	3176	26.69
120	3198	26.65
121	3224	26.64
122	3252	26.66
123	3300	26.83
124	3331	26.86
125	3351	26.81
126	3380	26.83
127	3403	26.80
128	3434	26.83
129	3918	30.37
130	3729	28.68
131	3755	28.66
132	3780	28.64
133	3809	28.64
134	3834	28.61
135	3880	28.74
136	3911	28.76
137	3931	28.69
138	3961	28.70
139	7261	52.24
140	3948	28.20
141	3969	28.15
142	4025	28.35
143	4040	28.25
144	4077	28.31
145	4177	28.81
146	4127	28.27
147	5607	38.14
148	4180	28.24
149	4210	28.26
150	4239	28.26
151	4268	28.26
152	4297	28.27
153	4326	28.27
154	4350	28.25
155	4376	28.23
156	4408	28.26
157	4440	28.28
158	4489	28.41
159	4510	28.36
160	4541	28.38
161	4568	28.37
162	4593	28.35
163	4629	28.40
164	4649	28.35
165	4682	28.38
166	4778	28.78
167	6050	36.23
168	4778	28.44
169	6644	39.31
170	4854	28.55
171	7102	41.53
172	4894	28.45
173	4919	28.43
174	4971	28.57
175	5003	28.59
176	5030	28.58
177	5055	28.56
178	5087	28.58
179	5118	28.59
180	5144	28.58
181	5175	28.59
182	5209	28.62
183	5245	28.66
184	5272	28.65
185	5301	28.65
186	5327	28.64
187	5357	28.65
188	5392	28.68
189	5423	28.69
190	5478	28.83
191	5506	28.83
192	5541	28.86
193	5567	28.84
194	5603	28.88
195	5701	29.24
196	5671	28.93
197	5699	28.93
198	5733	28.95
199	5762	28.95
200	7567	37.84
201	5896	29.33
202	6531	32.33
203	5966	29.39
204	6001	29.42
205	7175	35.00
206	6288	30.52
207	6121	29.57
208	6148	29.56
209	6231	29.81
210	6223	29.63
211	6249	29.62
212	6303	29.73
213	8683	40.77
214	6402	29.92
215	6312	29.36
216	7693	35.62
217	6427	29.62
218	6453	29.60
219	6487	29.62
220	7082	32.19
221	6578	29.76
222	6610	29.77
223	6645	29.80
224	6679	29.82
225	6708	29.81
226	6744	29.84
227	6779	29.86
228	6812	29.88
229	6849	29.91
230	6885	29.93
231	6917	29.94
232	6949	29.95
233	6981	29.96
234	7037	30.07
235	7064	30.06
236	7093	30.06
237	7152	30.18
238	7180	30.17
239	7214	30.18
240	7250	30.21
241	7281	30.21
242	7319	30.24
243	7353	30.26
244	7382	30.25
245	7420	30.29
246	7462	30.33
247	7500	30.36
248	7532	30.37
249	7564	30.38
250	9120	36.48
251	8501	33.87
252	7679	30.47
253	7759	30.67
254	7929	31.22
255	7840	30.75
256	7957	31.08
257	8255	32.12
258	8390	32.52
259	8407	32.46
260	8432	32.43
261	8475	32.47
262	10034	38.30
263	11409	43.38
264	8541	32.35
265	8551	32.27
266	8605	32.35
267	8672	32.48
268	8929	33.32
269	9537	35.45
270	9443	34.97
271	9331	34.43
272	9278	34.11
273	9533	34.92
274	11112	40.55
275	9598	34.90
276	10618	38.47
277	9091	32.82
278	12164	43.76
279	11533	41.34
280	9173	32.76
281	9222	32.82
282	9267	32.86
283	9296	32.85
284	9363	32.97
285	9398	32.98
286	9441	33.01
287	9481	33.03
288	9531	33.09
289	9566	33.10
290	9611	33.14
291	9639	33.12
292	9708	33.25
293	9740	33.24
294	9785	33.28
295	9823	33.30
296	9869	33.34
297	11515	38.77
298	10614	35.62
299	14491	48.46
300	11798	39.33
301	13686	45.47
302	10678	35.36
303	11117	36.69
304	11581	38.10
305	16412	53.81
306	11952	39.06
307	10812	35.22
308	10771	34.97
