N	Total Time	Average CPE
1	116	116.00
2	108	54.00
3	119	39.67
4	134	33.50
5	149	29.80
6	163	27.17
7	179	25.57
8	196	24.50
9	1426	158.44
10	333	33.30
11	256	23.27
12	279	23.25
13	310	23.85
14	337	24.07
15	362	24.13
16	392	24.50
17	617	36.29
18	608	33.78
19	636	33.47
20	667	33.35
21	700	33.33
22	727	33.05
23	762	33.13
24	796	33.17
25	856	34.24
26	931	35.81
27	958	35.48
28	993	35.46
29	1030	35.52
30	1066	35.53
31	1109	35.77
32	1143	35.72
33	1391	42.15
34	1413	41.56
35	1455	41.57
36	1536	42.67
37	1560	42.16
38	1624	42.74
39	1657	42.49
40	1741	43.52
41	1911	46.61
42	1933	46.02
43	1977	45.98
44	2030	46.14
45	2073	46.07
46	2139	46.50
47	2211	47.04
48	2278	47.46
49	2310	47.14
50	2373	47.46
51	2438	47.80
52	2506	48.19
53	2563	48.36
54	2967	54.94
55	5023	91.33
56	2764	49.36
57	2832	49.68
58	2895	49.91
59	3765	63.81
60	3042	50.70
61	3345	54.84
62	4160	67.10
63	3330	52.86
64	3426	53.53
65	3669	56.45
66	3792	57.45
67	3870	57.76
68	4122	60.62
69	4016	58.20
70	4081	58.30
71	4170	58.73
72	4241	58.90
73	4319	59.16
74	4398	59.43
75	4481	59.75
76	4592	60.42
77	4649	60.38
78	4755	60.96
79	4832	61.16
80	4917	61.46
81	4996	61.68
82	5113	62.35
83	5323	64.13
84	5389	64.15
85	5372	63.20
86	5460	63.49
87	5662	65.08
88	5647	64.17
89	5765	64.78
90	5903	65.59
91	5942	65.30
92	6037	65.62
93	6131	65.92
94	6340	67.45
95	6410	67.47
96	6522	67.94
97	6620	68.25
98	6798	69.37
99	7188	72.61
100	7971	79.71
101	10724	106.18
102	7110	69.71
103	7238	70.27
104	8647	83.14
105	7651	72.87
106	7750	73.11
107	7903	73.86
108	7742	71.69
109	7826	71.80
110	7887	71.70
111	11347	102.23
112	8045	71.83
113	8198	72.55
114	8268	72.53
115	8433	73.33
116	8491	73.20
117	8640	73.85
118	8719	73.89
119	8855	74.41
120	8959	74.66
121	9088	75.11
122	9174	75.20
123	9243	75.15
124	9404	75.84
125	9454	75.63
126	9547	75.77
127	9682	76.24
128	9783	76.43
129	10658	82.62
130	10380	79.85
131	10486	80.05
132	10586	80.20
133	10685	80.34
134	10813	80.69
135	10920	80.89
136	12592	92.59
137	13903	101.48
138	11998	86.94
139	12265	88.24
140	15549	111.06
141	12434	88.18
142	12847	90.47
143	12612	88.20
144	18775	130.38
145	18014	124.23
146	12612	86.38
147	12856	87.46
148	12527	84.64
149	12981	87.12
150	13106	87.37
151	13207	87.46
152	13122	86.33
153	13505	88.27
154	13543	87.94
155	13626	87.91
156	13662	87.58
157	13839	88.15
158	14189	89.80
159	14231	89.50
160	14479	90.49
161	14561	90.44
162	14676	90.59
163	14860	91.17
164	14903	90.87
165	14959	90.66
166	15153	91.28
167	15381	92.10
168	15768	93.86
169	15551	92.02
170	16236	95.51
171	17368	101.57
172	16155	93.92
173	16339	94.45
174	16551	95.12
175	18149	103.71
176	16999	96.59
177	16908	95.53
178	20469	114.99
179	18593	103.87
180	18170	100.94
181	17659	97.56
182	21611	118.74
183	18004	98.38
184	17773	96.59
185	30122	162.82
186	23137	124.39
187	18412	98.46
188	19327	102.80
