N	Total Time	Average CPE
1	659	659.00
2	176	88.00
3	219	73.00
4	244	61.00
5	277	55.40
6	694	115.67
7	309	44.14
8	357	44.62
9	412	45.78
10	422	42.20
11	443	40.27
12	497	41.42
13	516	39.69
14	459	32.79
15	451	30.07
16	553	34.56
17	1170	68.82
18	1087	60.39
19	1192	62.74
20	1147	57.35
21	1248	59.43
22	1259	57.23
23	4391	190.91
24	934	38.92
25	956	38.24
26	969	37.27
27	988	36.59
28	1007	35.96
29	1026	35.38
30	1046	34.87
31	1062	34.26
32	1076	33.62
33	1279	38.76
34	1260	37.06
35	1274	36.40
36	1295	35.97
37	1315	35.54
38	1341	35.29
39	1360	34.87
40	1494	37.35
41	1878	45.80
42	1222	29.10
43	1239	28.81
44	1253	28.48
45	1279	28.42
46	1293	28.11
47	1308	27.83
48	1326	27.62
49	1346	27.47
50	1390	27.80
51	1403	27.51
52	1420	27.31
53	1441	27.19
54	1457	26.98
55	1474	26.80
56	1493	26.66
57	1518	26.63
58	1524	26.28
59	1549	26.25
60	1567	26.12
61	1589	26.05
62	1610	25.97
63	1623	25.76
64	1636	25.56
65	1829	28.14
66	1817	27.53
67	1836	27.40
68	1856	27.29
69	1874	27.16
70	1899	27.13
71	1916	26.99
72	1940	26.94
73	2005	27.47
74	2033	27.47
75	2052	27.36
76	2073	27.28
77	2098	27.25
78	2119	27.17
79	2139	27.08
80	2190	27.38
81	2205	27.22
82	2220	27.07
83	2243	27.02
84	2265	26.96
85	2300	27.06
86	2320	26.98
87	2345	26.95
88	2356	26.77
89	2374	26.67
90	2397	26.63
91	2413	26.52
92	2435	26.47
93	2460	26.45
94	2485	26.44
95	2502	26.34
96	2557	26.64
97	2574	26.54
98	2597	26.50
99	2620	26.46
100	2655	26.55
101	3470	34.36
102	2727	26.74
103	2747	26.67
104	2780	26.73
105	2802	26.69
106	2825	26.65
107	2877	26.89
108	2893	26.79
109	2921	26.80
110	2946	26.78
111	2968	26.74
112	2999	26.78
113	3024	26.76
