N	Total Time	Average CPE
1	247	247.00
2	118	59.00
3	138	46.00
4	156	39.00
5	175	35.00
6	196	32.67
7	211	30.14
8	241	30.12
9	1450	161.11
10	286	28.60
11	305	27.73
12	332	27.67
13	353	27.15
14	384	27.43
15	394	26.27
16	425	26.56
17	657	38.65
18	659	36.61
19	680	35.79
20	711	35.55
21	732	34.86
22	771	35.05
23	797	34.65
24	833	34.71
25	853	34.12
26	866	33.31
27	893	33.07
28	910	32.50
29	927	31.97
30	947	31.57
31	967	31.19
32	990	30.94
33	1259	38.15
34	1251	36.79
35	1271	36.31
36	1285	35.69
37	1309	35.38
38	1327	34.92
39	1351	34.64
40	1400	35.00
41	1419	34.61
42	1432	34.10
43	1454	33.81
44	1470	33.41
45	1500	33.33
46	1515	32.93
47	1543	32.83
48	1585	33.02
49	1604	32.73
50	1632	32.64
51	1651	32.37
52	1677	32.25
53	1700	32.08
54	1719	31.83
55	1741	31.65
56	1763	31.48
57	1788	31.37
58	1810	31.21
59	1843	31.24
60	1866	31.10
61	1889	30.97
62	1911	30.82
63	1943	30.84
64	1974	30.84
65	2295	35.31
66	2289	34.68
67	2320	34.63
68	2342	34.44
69	2366	34.29
70	2396	34.23
71	2440	34.37
72	2463	34.21
73	2496	34.19
74	2522	34.08
75	2541	33.88
76	2575	33.88
77	2598	33.74
78	2631	33.73
79	2677	33.89
80	2711	33.89
81	3637	44.90
82	2938	35.83
83	3034	36.55
84	2837	33.77
85	2857	33.61
86	2892	33.63
87	3910	44.94
88	2941	33.42
89	3927	44.12
90	2998	33.31
91	3031	33.31
92	3069	33.36
93	3097	33.30
94	3128	33.28
95	3181	33.48
96	3213	33.47
97	3249	33.49
98	3276	33.43
99	3309	33.42
100	4798	47.98
101	3368	33.35
102	3397	33.30
103	3431	33.31
104	3462	33.29
105	3493	33.27
106	3530	33.30
107	3562	33.29
108	3589	33.23
109	3634	33.34
110	3662	33.29
111	3712	33.44
112	3750	33.48
113	3783	33.48
114	3820	33.51
115	3853	33.50
116	3889	33.53
117	3919	33.50
118	3956	33.53
119	3987	33.50
120	4025	33.54
121	4054	33.50
122	4087	33.50
123	4125	33.54
124	4157	33.52
125	4197	33.58
126	4245	33.69
127	4288	33.76
128	4326	33.80
129	5134	39.80
130	4718	36.29
131	4646	35.47
132	4675	35.42
133	6794	51.08
134	6666	49.75
135	6083	45.06
136	4958	36.46
137	4979	36.34
138	5018	36.36
139	5626	40.47
140	5264	37.60
141	5284	37.48
142	5194	36.58
143	5217	36.48
144	5258	36.51
145	5298	36.54
146	5330	36.51
147	5367	36.51
148	5402	36.50
149	5439	36.50
150	5478	36.52
151	5513	36.51
152	5549	36.51
153	5576	36.44
154	5616	36.47
155	5657	36.50
156	5694	36.50
157	5736	36.54
158	5794	36.67
159	5834	36.69
160	5874	36.71
161	5902	36.66
162	5943	36.69
163	5985	36.72
164	6020	36.71
165	6060	36.73
166	6101	36.75
167	6139	36.76
168	6178	36.77
169	6210	36.75
170	6250	36.76
171	6287	36.77
172	6320	36.74
173	6392	36.95
174	6428	36.94
175	6464	36.94
176	6501	36.94
177	6546	36.98
178	6582	36.98
179	6624	37.01
180	6666	37.03
181	6702	37.03
182	6738	37.02
183	6784	37.07
184	6824	37.09
185	6852	37.04
186	6890	37.04
187	6934	37.08
188	6980	37.13
189	7040	37.25
190	8664	45.60
191	7043	36.87
192	7217	37.59
193	8435	43.70
194	8923	45.99
195	7228	37.07
196	8061	41.13
197	7271	36.91
198	7313	36.93
199	7348	36.92
200	7696	38.48
201	7428	36.96
202	7471	36.99
203	7508	36.99
204	7554	37.03
205	7825	38.17
206	8634	41.91
207	7709	37.24
208	7752	37.27
209	7785	37.25
210	7832	37.30
211	7872	37.31
212	7925	37.38
213	7955	37.35
214	8000	37.38
215	8040	37.40
216	10001	46.30
217	8527	39.29
218	8154	37.40
219	8202	37.45
220	8242	37.46
221	8315	37.62
222	8353	37.63
223	8394	37.64
224	8445	37.70
225	8478	37.68
226	8526	37.73
227	8758	38.58
228	8611	37.77
229	8648	37.76
230	8698	37.82
231	8733	37.81
232	8783	37.86
233	8824	37.87
234	8869	37.90
235	8910	37.91
236	8957	37.95
237	9349	39.45
238	9109	38.27
239	9178	38.40
240	9502	39.59
241	10063	41.76
242	9803	40.51
243	9744	40.10
244	9910	40.61
245	9830	40.12
246	10872	44.20
247	9502	38.47
248	9546	38.49
249	9616	38.62
250	9637	38.55
251	10517	41.90
252	9795	38.87
253	9791	38.70
254	9846	38.76
255	9902	38.83
256	9940	38.83
257	10227	39.79
258	10266	39.79
259	10314	39.82
260	10386	39.95
261	10484	40.17
262	10519	40.15
263	10567	40.18
264	10632	40.27
265	11121	41.97
266	11862	44.59
267	11380	42.62
268	11551	43.10
269	11839	44.01
270	11920	44.15
271	11782	43.48
272	13230	48.64
273	16478	60.36
274	15496	56.55
275	11344	41.25
276	11925	43.21
277	11199	40.43
278	11251	40.47
279	11311	40.54
280	11371	40.61
281	11406	40.59
282	11445	40.59
283	11488	40.59
284	11736	41.32
285	11616	40.76
286	11657	40.76
287	11716	40.82
288	11766	40.85
289	11808	40.86
290	11856	40.88
291	11901	40.90
292	11957	40.95
293	12003	40.97
294	12061	41.02
