N	Total Time	Average CPE
1	372	372.00
2	120	60.00
3	122	40.67
4	129	32.25
5	139	27.80
6	154	25.67
7	165	23.57
8	182	22.75
9	254	28.22
10	1168	116.80
11	235	21.36
12	257	21.42
13	278	21.38
14	296	21.14
15	325	21.67
16	339	21.19
17	674	39.65
18	660	36.67
19	679	35.74
20	703	35.15
21	729	34.71
22	761	34.59
23	785	34.13
24	812	33.83
25	846	33.84
26	869	33.42
27	924	34.22
28	1009	36.04
29	1040	35.86
30	1097	36.57
31	1135	36.61
32	1166	36.44
33	1401	42.45
34	1403	41.26
35	1424	40.69
36	1475	40.97
37	1512	40.86
38	1645	43.29
39	2205	56.54
40	1469	36.73
41	1508	36.78
42	1544	36.76
43	1586	36.88
44	1617	36.75
45	1702	37.82
46	1742	37.87
47	1828	38.89
48	1898	39.54
49	1983	40.47
50	1994	39.88
51	2051	40.22
52	2106	40.50
53	2204	41.58
54	2281	42.24
55	2293	41.69
56	2348	41.93
57	2492	43.72
58	2493	42.98
59	2564	43.46
60	2639	43.98
61	2763	45.30
62	2796	45.10
63	2908	46.16
64	2973	46.45
65	3445	53.00
66	3499	53.02
67	3580	53.43
68	4134	60.79
69	3756	54.43
70	3895	55.64
71	3974	55.97
72	4016	55.78
73	4129	56.56
74	4102	55.43
75	4207	56.09
76	4269	56.17
77	4328	56.21
78	4445	56.99
79	4537	57.43
80	4614	57.67
81	4705	58.09
82	4793	58.45
83	4869	58.66
84	4937	58.77
85	5031	59.19
86	5109	59.41
87	5190	59.66
88	5223	59.35
89	5335	59.94
90	5406	60.07
91	10895	119.73
92	10254	111.46
93	7555	81.24
94	8689	92.44
95	9068	95.45
96	7519	78.32
97	6598	68.02
98	6159	62.85
99	5979	60.39
100	6509	65.09
101	6142	60.81
102	6246	61.24
103	6304	61.20
104	6430	61.83
105	6499	61.90
106	6579	62.07
107	6696	62.58
108	6762	62.61
109	6855	62.89
110	6945	63.14
111	7052	63.53
112	7145	63.79
113	7246	64.12
114	7335	64.34
115	7432	64.63
116	7545	65.04
117	7657	65.44
118	7741	65.60
119	7832	65.82
120	8168	68.07
121	8021	66.29
122	8125	66.60
