N	Total Time	Average CPE
1	438	438.00
2	37	18.50
3	141	47.00
4	60	15.00
5	146	29.20
6	258	43.00
7	185	26.43
8	273	34.12
9	219	24.33
10	981	98.10
11	338	30.73
12	452	37.67
13	392	30.15
14	511	36.50
15	474	31.60
16	504	31.50
17	529	31.12
18	619	34.39
19	593	31.21
20	484	24.20
21	315	15.00
22	333	15.14
23	345	15.00
24	365	15.21
25	371	14.84
26	387	14.88
27	398	14.74
28	774	27.64
29	806	27.79
30	925	30.83
31	930	30.00
32	1087	33.97
33	975	29.55
34	1066	31.35
35	604	17.26
36	523	14.53
37	546	14.76
38	556	14.63
39	566	14.51
40	588	14.70
41	594	14.49
42	612	14.57
43	623	14.49
44	632	14.36
45	662	14.71
46	668	14.52
47	684	14.55
48	701	14.60
49	729	14.88
50	724	14.48
51	741	14.53
52	752	14.46
53	776	14.64
54	780	14.44
55	797	14.49
56	813	14.52
57	831	14.58
58	840	14.48
59	850	14.41
60	866	14.43
61	875	14.34
62	888	14.32
63	902	14.32
64	925	14.45
65	941	14.48
66	967	14.65
67	956	14.27
68	982	14.44
69	994	14.41
70	1003	14.33
71	1029	14.49
72	1044	14.50
73	1050	14.38
74	1058	14.30
75	1081	14.41
76	1088	14.32
77	1122	14.57
78	1117	14.32
79	1130	14.30
80	1145	14.31
81	1152	14.22
82	1166	14.22
83	1189	14.33
84	1206	14.36
85	1234	14.52
86	1234	14.35
87	1249	14.36
88	1250	14.20
89	1288	14.47
90	1287	14.30
91	1295	14.23
92	1319	14.34
93	1334	14.34
94	1359	14.46
95	1362	14.34
96	1374	14.31
97	1390	14.33
98	1415	14.44
99	1417	14.31
100	1432	14.32
101	1740	17.23
102	1552	15.22
103	1465	14.22
104	1485	14.28
105	1491	14.20
106	1504	14.19
107	1524	14.24
108	1540	14.26
109	1540	14.13
110	1566	14.24
111	1594	14.36
112	1588	14.18
113	1608	14.23
114	1618	14.19
115	1638	14.24
116	1639	14.13
117	1665	14.23
118	1691	14.33
119	1687	14.18
120	1695	14.12
121	1698	14.03
122	1731	14.19
123	1759	14.30
124	1758	14.18
125	1761	14.09
126	1772	14.06
127	1807	14.23
128	1830	14.30
129	1829	14.18
130	1844	14.18
131	1876	14.32
132	1875	14.20
133	2945	22.14
134	2619	19.54
135	1907	14.13
136	1951	14.35
137	1960	14.31
138	1954	14.16
139	1975	14.21
140	1986	14.19
141	2004	14.21
142	2011	14.16
143	2028	14.18
144	2053	14.26
145	2052	14.15
146	2071	14.18
147	2092	14.23
148	2109	14.25
149	2111	14.17
150	2135	14.23
151	2136	14.15
152	2165	14.24
153	2163	14.14
154	2182	14.17
155	2211	14.26
156	2212	14.18
157	2232	14.22
158	2232	14.13
159	2251	14.16
160	2869	17.93
161	2353	14.61
162	2319	14.31
163	2329	14.29
164	3800	23.17
165	2364	14.33
166	2387	14.38
167	2391	14.32
168	2401	14.29
169	2420	14.32
170	2431	14.30
171	2465	14.42
172	2454	14.27
173	2484	14.36
174	2485	14.28
175	2498	14.27
176	2495	14.18
177	2530	14.29
178	2543	14.29
179	2569	14.35
180	3042	16.90
181	2840	15.69
182	2633	14.47
183	2628	14.36
184	2641	14.35
185	2644	14.29
186	2655	14.27
187	2676	14.31
188	2699	14.36
189	2711	14.34
190	2724	14.34
191	2741	14.35
192	2750	14.32
193	2775	14.38
194	2777	14.31
195	2809	14.41
196	2803	14.30
197	2837	14.40
198	2828	14.28
199	2859	14.37
200	3238	16.19
201	2854	14.20
202	2886	14.29
203	2876	14.17
204	2914	14.28
205	2904	14.17
206	2938	14.26
207	2939	14.20
208	2967	14.26
209	2967	14.20
210	2993	14.25
211	2998	14.21
212	3013	14.21
213	3030	14.23
214	3041	14.21
215	3061	14.24
216	3064	14.19
217	3085	14.22
218	3086	14.16
219	3117	14.23
220	3106	14.12
221	3116	14.10
222	3156	14.22
223	3162	14.18
224	3189	14.24
225	3171	14.09
226	3214	14.22
227	3217	14.17
228	3251	14.26
229	3245	14.17
230	3274	14.23
231	3281	14.20
232	3299	14.22
233	3308	14.20
234	3320	14.19
235	3348	14.25
236	3354	14.21
237	3372	14.23
238	3382	14.21
239	3396	14.21
240	3396	14.15
241	3412	14.16
242	3451	14.26
243	5297	21.80
244	4079	16.72
245	4081	16.66
246	4467	18.16
247	6404	25.93
248	6392	25.77
249	6443	25.88
250	6315	25.26
251	5187	20.67
252	5195	20.62
253	5242	20.72
254	5247	20.66
255	5257	20.62
256	5314	20.76
257	5294	20.60
258	5340	20.70
259	5364	20.71
260	5341	20.54
261	5374	20.59
262	7724	29.48
263	6747	25.65
264	8566	32.45
265	5494	20.73
266	6932	26.06
267	5574	20.88
268	5798	21.63
269	5810	21.60
270	5769	21.37
271	5812	21.45
272	5777	21.24
273	6980	25.57
274	5633	20.56
275	5653	20.56
276	5865	21.25
277	5653	20.41
278	5717	20.56
279	5724	20.52
280	7065	25.23
281	5572	19.83
282	4632	16.43
283	4667	16.49
284	4675	16.46
285	4683	16.43
286	4706	16.45
287	4722	16.45
288	4739	16.45
289	4739	16.40
290	4773	16.46
291	4798	16.49
292	4792	16.41
293	4812	16.42
294	4836	16.45
295	4854	16.45
296	5580	18.85
297	5245	17.66
298	5185	17.40
299	5426	18.15
300	5955	19.85
301	5134	17.06
302	5243	17.36
303	5314	17.54
304	5234	17.22
305	5861	19.22
306	7767	25.38
307	6702	21.83
308	5123	16.63
309	5473	17.71
