N	Total Time	Average CPE
1	106	106.00
2	209	104.50
3	341	113.67
4	472	118.00
5	1353	270.60
6	758	126.33
7	880	125.71
8	1010	126.25
9	1142	126.89
10	1277	127.70
11	1409	128.09
12	1541	128.42
13	1672	128.62
14	1804	128.86
15	1938	129.20
16	2069	129.31
17	2202	129.53
18	2334	129.67
19	2467	129.84
20	2599	129.95
21	2732	130.10
22	2865	130.23
23	2997	130.30
24	3129	130.38
25	3240	129.60
26	3373	129.73
27	3504	129.78
28	3655	130.54
29	3785	130.52
30	3913	130.43
31	4064	131.10
32	4180	130.62
33	4316	130.79
34	4448	130.82
35	4577	130.77
36	4714	130.94
37	4846	130.97
38	4977	130.97
39	5104	130.87
40	5241	131.03
41	5351	130.51
42	5484	130.57
43	5614	130.56
44	5756	130.82
45	5885	130.78
46	6016	130.78
47	6241	132.79
48	7535	156.98
49	8467	172.80
50	6551	131.02
51	6680	130.98
52	6818	131.12
53	7481	141.15
54	7104	131.56
55	7232	131.49
56	7366	131.54
57	7498	131.54
58	7623	131.43
59	7766	131.63
60	7905	131.75
61	8032	131.67
62	8168	131.74
63	8291	131.60
64	8437	131.83
65	8564	131.75
66	8683	131.56
67	8798	131.31
68	9118	134.09
69	9044	131.07
70	9165	130.93
71	9283	130.75
72	9400	130.56
73	9515	130.34
74	9631	130.15
75	9743	129.91
76	9866	129.82
77	9983	129.65
78	10105	129.55
79	10241	129.63
80	10339	129.24
81	10456	129.09
82	10569	128.89
83	10690	128.80
84	10810	128.69
85	10925	128.53
86	11042	128.40
87	11153	128.20
88	11279	128.17
89	11391	127.99
90	11506	127.84
91	11619	127.68
92	11740	127.61
93	12552	134.97
94	12863	136.84
95	12003	126.35
96	12108	126.12
97	12217	125.95
98	12337	125.89
99	12453	125.79
100	12721	127.21
101	13493	133.59
102	13607	133.40
103	14754	143.24
104	13873	133.39
105	14709	140.09
106	14573	137.48
107	13566	126.79
108	13671	126.58
109	13824	126.83
110	14047	127.70
111	14049	126.57
112	15195	135.67
113	14281	126.38
114	15441	135.45
115	15001	130.44
116	15231	131.30
117	15272	130.53
118	17767	150.57
119	14937	125.52
120	15048	125.40
121	15174	125.40
122	15285	125.29
123	15410	125.28
124	15610	125.89
125	15636	125.09
126	15761	125.09
127	15879	125.03
128	16063	125.49
129	19646	152.29
130	17711	136.24
131	16300	124.43
132	16638	126.05
133	16612	124.90
134	16811	125.46
135	16955	125.59
136	16976	124.82
137	17095	124.78
138	17214	124.74
139	17337	124.73
140	17902	127.87
141	17498	124.10
142	17628	124.14
143	17814	124.57
144	17852	123.97
145	17980	124.00
146	18098	123.96
147	18215	123.91
148	19808	133.84
149	18523	124.32
150	18577	123.85
151	19723	130.62
152	19372	127.45
153	19501	127.46
154	19618	127.39
155	19737	127.34
156	19848	127.23
157	19970	127.20
158	20158	127.58
159	20200	127.04
160	20317	126.98
161	20657	128.30
162	19971	123.28
163	20083	123.21
164	20345	124.05
165	20407	123.68
166	20516	123.59
167	20656	123.69
168	20766	123.61
169	20890	123.61
170	21113	124.19
171	21044	123.06
172	21292	123.79
173	21284	123.03
174	21684	124.62
175	21515	122.94
176	22518	127.94
177	21759	122.93
178	21873	122.88
179	21999	122.90
180	22117	122.87
181	22235	122.85
182	22512	123.69
183	23366	127.68
184	22310	121.25
185	22439	121.29
186	22550	121.24
187	22657	121.16
188	22780	121.17
189	22888	121.10
190	23041	121.27
191	23349	122.25
192	24784	129.08
193	25071	129.90
194	23816	122.76
195	23945	122.79
196	23998	122.44
197	24104	122.36
198	24234	122.39
199	24354	122.38
200	25252	126.26
201	24516	121.97
202	24447	121.02
203	24720	121.77
204	24686	121.01
205	24794	120.95
206	24892	120.83
207	25003	120.79
208	25121	120.77
209	25332	121.21
210	25640	122.10
211	27316	129.46
212	25589	120.70
213	25698	120.65
214	25835	120.72
215	26004	120.95
216	26058	120.64
217	26164	120.57
218	26528	121.69
219	26362	120.37
220	26562	120.74
221	26667	120.67
222	26792	120.68
223	27065	121.37
224	26984	120.46
225	27090	120.40
226	27211	120.40
227	27342	120.45
228	28316	124.19
229	32217	140.69
230	28051	121.96
231	28172	121.96
232	28280	121.90
233	28398	121.88
234	28523	121.89
235	28654	121.93
236	29441	124.75
237	29639	125.06
238	30111	126.52
239	35345	147.89
240	31926	133.03
241	30117	124.97
242	29398	121.48
243	29512	121.45
244	29692	121.69
245	30575	124.80
246	30041	122.12
247	30077	121.77
248	31652	127.63
249	31132	125.03
250	30101	120.40
251	33910	135.10
252	31538	125.15
253	30920	122.21
254	31371	123.51
255	31487	123.48
256	31852	124.42
257	31894	124.10
258	31389	121.66
259	31377	121.15
260	31489	121.11
261	31583	121.01
262	33081	126.26
263	32299	122.81
264	32030	121.33
265	32101	121.14
266	32324	121.52
267	32263	120.84
268	32089	119.74
269	32199	119.70
270	32346	119.80
271	32450	119.74
272	32825	120.68
273	32689	119.74
274	32815	119.76
275	33541	121.97
276	33395	121.00
277	33490	120.90
278	34077	122.58
279	33745	120.95
280	33966	121.31
281	34011	121.04
282	34440	122.13
283	34234	120.97
284	34371	121.02
285	34452	120.88
286	34633	121.09
287	34713	120.95
288	34927	121.27
289	34981	121.04
290	35073	120.94
291	35166	120.85
292	35378	121.16
293	35447	120.98
294	35558	120.95
295	35656	120.87
296	35797	120.94
297	35877	120.80
298	35999	120.80
299	36187	121.03
300	36855	122.85
301	35897	119.26
302	36015	119.25
303	36900	121.78
304	36827	121.14
305	36950	121.15
306	37133	121.35
307	37172	121.08
308	37297	121.09
309	37407	121.06
310	38387	123.83
311	37512	120.62
312	37546	120.34
313	37664	120.33
314	37812	120.42
315	37906	120.34
316	38802	122.79
317	38763	122.28
318	38882	122.27
319	39653	124.30
320	45710	142.84
321	38612	120.29
322	38744	120.32
323	46792	144.87
324	41298	127.46
325	39093	120.29
326	39919	122.45
327	39309	120.21
328	39650	120.88
329	46409	141.06
330	40299	122.12
331	40412	122.09
332	40535	122.09
333	41341	124.15
334	40308	120.68
335	40309	120.33
336	40401	120.24
337	40646	120.61
338	40642	120.24
339	40827	120.43
340	40874	120.22
341	41303	121.12
342	41123	120.24
343	41223	120.18
344	41452	120.50
345	41537	120.40
346	41597	120.22
347	41707	120.19
348	41952	120.55
349	42015	120.39
350	42145	120.41
351	42203	120.24
352	42485	120.70
353	42717	121.01
354	42655	120.49
355	42776	120.50
356	42905	120.52
357	43002	120.45
358	43048	120.25
359	43116	120.10
360	43443	120.67
361	43482	120.45
362	43628	120.52
363	43661	120.28
364	43706	120.07
365	46033	126.12
366	45348	123.90
367	43555	118.68
368	43899	119.29
369	43969	119.16
370	43930	118.73
371	44093	118.85
372	44292	119.06
373	44309	118.79
374	45464	121.56
375	53215	141.91
376	45439	120.85
377	45468	120.60
378	46222	122.28
379	46179	121.84
380	49634	130.62
381	47426	124.48
382	48901	128.01
383	45926	119.91
384	45701	119.01
385	45697	118.69
386	46024	119.23
387	45938	118.70
388	46009	118.58
389	46538	119.63
390	46239	118.56
391	49472	126.53
392	46990	119.87
393	47109	119.87
394	48637	123.44
395	47546	120.37
396	47610	120.23
397	50941	128.31
398	49243	123.73
399	47938	120.15
400	48411	121.03
401	48130	120.02
402	49688	123.60
403	48390	120.07
404	48484	120.01
405	48244	119.12
406	59442	146.41
407	58064	142.66
408	55609	136.30
409	49880	121.96
410	50213	122.47
411	53670	130.58
412	52239	126.79
413	50011	121.09
414	54691	132.10
415	50362	121.35
416	51923	124.81
417	52379	125.61
418	59490	142.32
419	55446	132.33
420	51064	121.58
421	52445	124.57
422	52362	124.08
423	53316	126.04
424	62574	147.58
425	54561	128.38
426	51195	120.18
427	66329	155.34
428	50649	118.34
429	54184	126.30
430	51769	120.39
431	52756	122.40
432	52449	121.41
433	52652	121.60
434	54000	124.42
435	52370	120.39
436	51804	118.82
437	53866	123.26
438	51784	118.23
439	51871	118.16
440	52384	119.05
441	52179	118.32
442	52335	118.40
443	52443	118.38
444	54238	122.16
445	54726	122.98
446	53720	120.45
447	52890	118.32
448	55352	123.55
449	54267	120.86
450	54323	120.72
451	54476	120.79
452	55159	122.03
453	54314	119.90
454	54388	119.80
455	54038	118.76
456	56554	124.02
457	55368	121.16
458	58544	127.83
459	54680	119.13
460	54336	118.12
461	57050	123.75
462	56422	122.13
463	54654	118.04
464	55131	118.82
465	55026	118.34
466	55297	118.66
467	55366	118.56
468	55919	119.49
469	56230	119.89
470	56932	121.13
471	56176	119.27
472	56259	119.19
473	56162	118.74
474	56456	119.11
475	56300	118.53
476	56403	118.49
477	56505	118.46
478	56573	118.35
479	60919	127.18
480	57131	119.02
481	57574	119.70
482	58084	120.51
483	59399	122.98
484	62858	129.87
485	59910	123.53
486	58125	119.60
487	60729	124.70
488	58879	120.65
489	58555	119.74
490	62317	127.18
491	59974	122.15
492	59287	120.50
493	59328	120.34
494	59924	121.30
495	59692	120.59
496	60943	122.87
497	59941	120.61
498	60627	121.74
499	59603	119.44
500	59270	118.54
501	60638	121.03
502	61462	122.43
503	61130	121.53
504	60390	119.82
505	60581	119.96
506	61912	122.36
507	60792	119.91
508	65212	128.37
509	70681	138.86
510	70700	138.63
511	64038	125.32
512	62066	121.22
513	64836	126.39
514	63240	123.04
515	61474	119.37
516	61585	119.35
517	63247	122.33
518	61849	119.40
519	62604	120.62
520	63026	121.20
521	62625	120.20
522	62189	119.14
523	63237	120.91
524	66309	126.54
525	64351	122.57
526	63085	119.93
527	62911	119.38
528	63053	119.42
529	63081	119.25
530	63520	119.85
531	63916	120.37
532	65710	123.52
533	63769	119.64
534	63596	119.09
535	64232	120.06
536	70714	131.93
537	63350	117.97
538	64096	119.14
539	64316	119.32
540	64409	119.28
541	65311	120.72
542	69911	128.99
543	65068	119.83
544	64898	119.30
545	65422	120.04
546	65631	120.20
547	68569	125.35
548	64646	117.97
549	64781	118.00
550	64876	117.96
551	69113	125.43
552	66614	120.68
553	66524	120.30
554	66638	120.29
555	67858	122.27
556	68071	122.43
557	66436	119.27
558	66957	119.99
559	68131	121.88
560	66805	119.29
561	68177	121.53
562	67754	120.56
563	71354	126.74
564	66996	118.79
565	66762	118.16
566	66621	117.70
567	66820	117.85
568	68417	120.45
569	67806	119.17
570	67977	119.26
571	70313	123.14
572	68242	119.30
573	69998	122.16
574	70432	122.70
575	67981	118.23
576	68324	118.62
577	69523	120.49
578	68283	118.14
579	68184	117.76
580	69803	120.35
581	69256	119.20
582	69300	119.07
583	69695	119.55
584	69721	119.39
585	68899	117.78
586	69030	117.80
587	69382	118.20
588	69311	117.88
589	72210	122.60
