N	Total Time	Average CPE
1	455	455.00
2	242	121.00
3	264	88.00
4	375	93.75
5	466	93.20
6	648	108.00
7	691	98.71
8	1382	172.75
9	746	82.89
10	771	77.10
11	1373	124.82
12	860	71.67
13	1055	81.15
14	1059	75.64
15	1044	69.60
16	1208	75.50
17	1215	71.47
18	1284	71.33
19	1453	76.47
20	957	47.85
21	373	17.76
22	393	17.86
23	417	18.13
24	428	17.83
25	453	18.12
26	468	18.00
27	488	18.07
28	1066	38.07
29	2467	85.07
30	2633	87.77
31	2116	68.26
32	2254	70.44
33	2373	71.91
34	2956	86.94
35	955	27.29
36	635	17.64
37	661	17.86
38	678	17.84
39	696	17.85
40	721	18.02
41	724	17.66
42	742	17.67
43	766	17.81
44	785	17.84
45	821	18.24
46	828	18.00
47	857	18.23
48	870	18.12
49	882	18.00
50	887	17.74
51	904	17.73
52	923	17.75
53	951	17.94
54	957	17.72
55	980	17.82
56	996	17.79
57	1016	17.82
58	1026	17.69
59	1047	17.75
60	1073	17.88
61	1082	17.74
62	1102	17.77
63	1125	17.86
64	1134	17.72
65	1154	17.75
66	1184	17.94
67	1191	17.78
68	1210	17.79
69	1235	17.90
70	1234	17.63
71	1266	17.83
72	1287	17.88
73	1295	17.74
74	1315	17.77
75	1340	17.87
76	1343	17.67
77	1378	17.90
78	1380	17.69
79	1404	17.77
80	1426	17.82
81	1432	17.68
82	1460	17.80
83	1462	17.61
84	1484	17.67
85	1516	17.84
86	1524	17.72
87	1551	17.83
88	1557	17.69
89	1592	17.89
90	1595	17.72
91	1614	17.74
92	1639	17.82
93	1647	17.71
94	1671	17.78
95	1684	17.73
96	1697	17.68
97	1714	17.67
98	1748	17.84
99	1753	17.71
100	2151	21.51
101	2840	28.12
102	1771	17.36
103	1784	17.32
104	1814	17.44
105	1808	17.22
106	1835	17.31
107	1844	17.23
108	1866	17.28
109	1874	17.19
110	1895	17.23
111	1924	17.33
112	1922	17.16
113	1948	17.24
114	1964	17.23
115	1984	17.25
116	1996	17.21
117	2018	17.25
118	2050	17.37
119	2044	17.18
120	2066	17.22
121	2080	17.19
122	2101	17.22
123	2126	17.28
124	2128	17.16
125	2152	17.22
126	2168	17.21
127	2186	17.21
128	2203	17.21
129	2218	17.19
130	2239	17.22
131	2262	17.27
132	2267	17.17
133	2298	17.28
134	2317	17.29
135	2321	17.19
136	2349	17.27
137	2694	19.66
138	3598	26.07
139	3567	25.66
140	2478	17.70
141	2513	17.82
142	2523	17.77
143	2537	17.74
144	2559	17.77
145	2559	17.65
146	2588	17.73
147	2622	17.84
148	2631	17.78
149	2649	17.78
150	2680	17.87
151	2722	18.03
152	3117	20.51
153	3721	24.32
154	3103	20.15
155	4331	27.94
156	4103	26.30
157	4201	26.76
158	4231	26.78
159	3574	22.48
160	2912	18.20
161	2893	17.97
162	2943	18.17
163	2882	17.68
164	2909	17.74
165	2917	17.68
166	2945	17.74
167	2963	17.74
168	2975	17.71
169	5093	30.14
170	3047	17.92
171	2952	17.26
172	2975	17.30
173	2988	17.27
174	3007	17.28
175	3012	17.21
176	3031	17.22
177	3055	17.26
178	3074	17.27
179	3094	17.28
180	3651	20.28
181	3248	17.94
182	3234	17.77
183	3239	17.70
184	3266	17.75
185	3275	17.70
186	3288	17.68
187	3312	17.71
188	3331	17.72
189	3344	17.69
190	3362	17.69
191	3381	17.70
192	3406	17.74
193	3421	17.73
194	3435	17.71
195	3451	17.70
196	3469	17.70
197	3485	17.69
198	3506	17.71
199	3518	17.68
200	3877	19.39
201	3471	17.27
202	3503	17.34
203	3586	17.67
204	3622	17.75
205	3635	17.73
