N	Total Time	Average CPE
1	412	412.00
2	37	18.50
3	128	42.67
4	60	15.00
5	153	30.60
6	233	38.83
7	189	27.00
8	281	35.12
9	213	23.67
10	356	35.60
11	503	45.73
12	525	43.75
13	392	30.15
14	501	35.79
15	500	33.33
16	503	31.44
17	521	30.65
18	638	35.44
19	630	33.16
20	514	25.70
21	315	15.00
22	327	14.86
23	347	15.09
24	360	15.00
25	374	14.96
26	384	14.77
27	403	14.93
28	723	25.82
29	817	28.17
30	895	29.83
31	1375	44.35
32	1008	31.50
33	949	28.76
34	1047	30.79
35	610	17.43
36	526	14.61
37	538	14.54
38	552	14.53
39	571	14.64
40	583	14.57
41	588	14.34
42	609	14.50
43	622	14.47
44	635	14.43
45	657	14.60
46	668	14.52
47	681	14.49
48	699	14.56
49	713	14.55
50	719	14.38
51	739	14.49
52	751	14.44
53	771	14.55
54	775	14.35
55	789	14.35
56	808	14.43
57	821	14.40
58	833	14.36
59	852	14.44
60	856	14.27
61	870	14.26
62	880	14.19
63	904	14.35
64	919	14.36
65	935	14.38
66	947	14.35
67	957	14.28
68	972	14.29
69	996	14.43
70	1005	14.36
71	1018	14.34
72	1036	14.39
73	1044	14.30
74	1059	14.31
75	1074	14.32
76	1090	14.34
77	1305	16.95
78	1168	14.97
79	1135	14.37
80	1138	14.22
81	1151	14.21
82	1166	14.22
83	1259	15.17
84	1190	14.17
85	1215	14.29
86	1224	14.23
87	1245	14.31
88	1254	14.25
89	1273	14.30
90	1280	14.22
91	1295	14.23
92	1315	14.29
93	1324	14.24
94	1343	14.29
95	1351	14.22
96	1367	14.24
97	1382	14.25
98	1392	14.20
99	1406	14.20
100	1427	14.27
101	1813	17.95
102	1458	14.29
103	1467	14.24
104	1479	14.22
105	1494	14.23
106	1510	14.25
107	1520	14.21
108	1533	14.19
109	1544	14.17
110	1564	14.22
111	1580	14.23
112	1587	14.17
113	1605	14.20
114	1613	14.15
115	1634	14.21
116	1644	14.17
117	1663	14.21
118	1676	14.20
119	1679	14.11
120	1693	14.11
121	1870	15.45
122	3113	25.52
123	1802	14.65
124	1750	14.11
125	1767	14.14
126	1773	14.07
127	1802	14.19
128	1816	14.19
129	1831	14.19
130	2838	21.83
131	2542	19.40
132	1867	14.14
133	1905	14.32
134	1902	14.19
135	1912	14.16
136	1934	14.22
137	1941	14.17
138	1954	14.16
139	1973	14.19
140	1981	14.15
141	1986	14.09
142	2006	14.13
143	2048	14.32
144	2060	14.31
145	2053	14.16
146	2188	14.99
147	2196	14.94
148	2485	16.79
149	2167	14.54
150	2143	14.29
151	2219	14.70
152	2235	14.70
153	2172	14.20
154	2191	14.23
155	2211	14.26
156	2305	14.78
157	2233	14.22
158	2246	14.22
159	2291	14.41
160	3736	23.35
161	2422	15.04
162	2311	14.27
163	2310	14.17
164	2332	14.22
165	2350	14.24
166	2354	14.18
167	2372	14.20
168	2378	14.15
169	2399	14.20
170	2412	14.19
171	2429	14.20
172	2445	14.22
173	2450	14.16
174	2468	14.18
175	2548	14.56
176	2479	14.09
177	2506	14.16
178	2533	14.23
179	2542	14.20
180	2544	14.13
181	2555	14.12
182	2578	14.16
183	2601	14.21
184	2607	14.17
185	2624	14.18
186	2631	14.15
187	2654	14.19
188	2664	14.17
189	2680	14.18
190	2695	14.18
191	2705	14.16
192	2784	14.50
193	3081	15.96
194	2761	14.23
195	2788	14.30
196	3580	18.27
197	3056	15.51
198	3111	15.71
199	2819	14.17
200	3081	15.40
201	2848	14.17
202	2954	14.62
203	2886	14.22
204	4123	20.21
205	2902	14.16
206	2915	14.15
207	2929	14.15
208	2940	14.13
209	2960	14.16
210	2966	14.12
211	2980	14.12
212	3001	14.16
213	3007	14.12
214	3028	14.15
215	3046	14.17
216	3054	14.14
217	3064	14.12
218	3084	14.15
219	3095	14.13
220	3093	14.06
221	3116	14.10
222	3137	14.13
223	3153	14.14
224	3162	14.12
225	3156	14.03
226	3196	14.14
227	3217	14.17
228	3219	14.12
229	3237	14.14
230	3252	14.14
231	3264	14.13
232	3281	14.14
233	4199	18.02
234	3652	15.61
235	3390	14.43
236	3982	16.87
237	4958	20.92
238	4748	19.95
239	3990	16.69
240	3932	16.38
241	4453	18.48
242	4123	17.04
243	4555	18.74
244	16076	65.89
245	3929	16.04
246	4320	17.56
247	4827	19.54
248	4562	18.40
249	3529	14.17
250	3522	14.09
251	3557	14.17
252	3594	14.26
253	4234	16.74
254	3608	14.20
255	3849	15.09
256	4536	17.72
257	6057	23.57
258	4700	18.22
259	3732	14.41
260	3726	14.33
261	4023	15.41
262	3949	15.07
263	3855	14.66
264	3840	14.55
265	3855	14.55
266	3929	14.77
267	5342	20.01
268	5758	21.49
269	6073	22.58
270	10311	38.19
271	11602	42.81
272	12923	47.51
273	11058	40.51
274	9034	32.97
275	6138	22.32
276	6346	22.99
277	6708	24.22
278	6498	23.37
279	6555	23.49
280	5405	19.30
281	4009	14.27
282	5769	20.46
283	4289	15.16
284	23314	82.09
285	16655	58.44
286	10806	37.78
287	7093	24.71
288	6592	22.89
289	6527	22.58
290	5675	19.57
291	5509	18.93
292	5752	19.70
293	6659	22.73
294	6519	22.17
295	6723	22.79
296	8329	28.14
297	6144	20.69
298	5003	16.79
299	4417	14.77
300	5578	18.59
301	6315	20.98
302	4617	15.29
303	4321	14.26
304	4301	14.15
305	4645	15.23
306	4332	14.16
307	4350	14.17
308	4486	14.56
309	5332	17.26
310	7627	24.60
311	5022	16.15
312	5226	16.75
313	4735	15.13
314	4462	14.21
315	4450	14.13
316	4468	14.14
317	4475	14.12
318	4493	14.13
319	4517	14.16
320	4888	15.28
321	6228	19.40
322	4569	14.19
323	4557	14.11
324	5190	16.02
325	4595	14.14
326	4602	14.12
327	4616	14.12
328	4624	14.10
329	5475	16.64
330	4744	14.38
331	8540	25.80
332	6526	19.66
333	7548	22.67
334	7086	21.22
