N	Total Time	Average CPE
2048	19822	9.68
6144	60211	9.80
10240	110072	10.75
14336	158983	11.09
18432	191180	10.37
22528	220970	9.81
26624	262574	9.86
30720	369076	12.01
34816	340603	9.78
38912	381195	9.80
43008	414889	9.65
47104	484307	10.28
51200	552640	10.79
55296	534080	9.66
59392	636160	10.71
63488	620571	9.77
67584	664155	9.83
71680	708938	9.89
75776	732766	9.67
79872	770751	9.65
83968	838162	9.98
88064	856383	9.72
92160	947050	10.28
96256	944044	9.81
100352	994378	9.91
104448	1074646	10.29
108544	1063026	9.79
112640	1106057	9.82
116736	1129281	9.67
120832	1180761	9.77
124928	1212648	9.71
129024	1280278	9.92
133120	1289357	9.69
137216	1331254	9.70
141312	1379209	9.76
145408	1456783	10.02
149504	1512891	10.12
153600	1532906	9.98
157696	1543143	9.79
161792	1567831	9.69
165888	1633942	9.85
169984	1674279	9.85
174080	1706894	9.81
178176	1723278	9.67
182272	1762872	9.67
186368	1805732	9.69
190464	1855387	9.74
194560	1918219	9.86
198656	1919302	9.66
202752	1976210	9.75
206848	2040962	9.87
210944	2038130	9.66
215040	2100297	9.77
219136	2127574	9.71
223232	2196039	9.84
227328	2260129	9.94
231424	2285713	9.88
235520	2370069	10.06
239616	2400684	10.02
243712	2378387	9.76
247808	2425387	9.79
251904	2434654	9.67
256000	2493286	9.74
260096	2600443	10.00
264192	2555827	9.67
268288	2622657	9.78
272384	2631641	9.66
276480	2671691	9.66
280576	2791464	9.95
284672	2756785	9.68
288768	2798377	9.69
292864	2871287	9.80
296960	2864018	9.64
301056	2918925	9.70
305152	2955316	9.68
309248	3257563	10.53
313344	3065739	9.78
317440	3076894	9.69
321536	3110953	9.68
325632	3146900	9.66
329728	3219441	9.76
333824	3240065	9.71
337920	3260220	9.65
342016	3305312	9.66
346112	3370471	9.74
350208	3427269	9.79
354304	3433195	9.69
358400	3478883	9.71
362496	3541917	9.77
366592	3544559	9.67
370688	3585673	9.67
374784	3642623	9.72
378880	3710602	9.79
382976	3702296	9.67
387072	3764417	9.73
391168	3803493	9.72
395264	3834567	9.70
399360	3854664	9.65
403456	3904836	9.68
407552	3958107	9.71
411648	4086557	9.93
415744	4089892	9.84
419840	4169281	9.93
423936	4145868	9.78
428032	4233336	9.89
432128	4177931	9.67
436224	4277139	9.80
440320	4295162	9.75
444416	4310207	9.70
448512	4401355	9.81
452608	4413552	9.75
456704	4475890	9.80
460800	4520058	9.81
464896	4708306	10.13
468992	4593185	9.79
473088	4647868	9.82
477184	4627578	9.70
481280	4650138	9.66
485376	4964676	10.23
489472	4735824	9.68
493568	4779294	9.68
497664	4866796	9.78
501760	4896898	9.76
505856	5551753	10.97
509952	4950125	9.71
514048	4961801	9.65
518144	5044257	9.74
522240	5050598	9.67
526336	5102119	9.69
530432	5137564	9.69
534528	5161910	9.66
538624	5221890	9.69
542720	5270667	9.71
546816	5292377	9.68
550912	5427194	9.85
555008	5366157	9.67
559104	5482134	9.81
563200	5524998	9.81
567296	5502581	9.70
571392	5541305	9.70
575488	5593993	9.72
579584	5647741	9.74
583680	5668637	9.71
587776	5699460	9.70
591872	5907175	9.98
595968	5788506	9.71
600064	5805767	9.68
604160	5861388	9.70
608256	6167517	10.14
612352	5927707	9.68
616448	6006454	9.74
620544	5999264	9.67
624640	6077267	9.73
628736	6103369	9.71
632832	6151656	9.72
636928	6162545	9.68
641024	6216838	9.70
645120	6248294	9.69
649216	6281239	9.68
653312	6314515	9.67
657408	6371027	9.69
661504	6402983	9.68
665600	6467477	9.72
669696	6489221	9.69
673792	6529941	9.69
677888	6579467	9.71
681984	6612685	9.70
686080	6698116	9.76
690176	6686232	9.69
694272	7249313	10.44
698368	6756012	9.67
702464	7194267	10.24
706560	6873406	9.73
710656	6889264	9.69
714752	6934769	9.70
718848	7149133	9.95
722944	7053253	9.76
727040	7035154	9.68
731136	7076595	9.68
735232	7525512	10.24
739328	7159908	9.68
743424	7312476	9.84
747520	7236338	9.68
751616	7339668	9.77
755712	7317838	9.68
759808	7409746	9.75
763904	7442555	9.74
768000	7427567	9.67
772096	7631400	9.88
776192	7534668	9.71
780288	7727933	9.90
784384	7584673	9.67
788480	7636849	9.69
792576	7788926	9.83
796672	7729357	9.70
800768	7745176	9.67
804864	7884761	9.80
808960	8768114	10.84
813056	8093150	9.95
817152	7975077	9.76
821248	8144430	9.92
825344	8087956	9.80
829440	8171089	9.85
833536	8175843	9.81
837632	8690524	10.38
841728	8854001	10.52
845824	8287029	9.80
849920	8337952	9.81
854016	8376740	9.81
858112	8322092	9.70
862208	8710154	10.10
866304	9126089	10.53
870400	8418717	9.67
874496	8455855	9.67
878592	8673404	9.87
882688	8603744	9.75
886784	8616542	9.72
890880	8618486	9.67
894976	8686113	9.71
899072	8710999	9.69
903168	8742229	9.68
907264	9253796	10.20
911360	9014863	9.89
915456	8864444	9.68
919552	8962551	9.75
923648	9042757	9.79
927744	8965160	9.66
931840	9029423	9.69
935936	9138210	9.76
940032	9150077	9.73
944128	9159742	9.70
948224	9224367	9.73
952320	9236337	9.70
956416	9300935	9.72
960512	9397492	9.78
964608	9323095	9.67
968704	9457054	9.76
972800	9446242	9.71
976896	9500705	9.73
980992	9508678	9.69
985088	9550768	9.70
989184	9575536	9.68
993280	9624578	9.69
997376	9832608	9.86
1001472	9775561	9.76
1005568	9998387	9.94
1009664	9783025	9.69
1013760	9862870	9.73
1017856	9891312	9.72
1021952	9886836	9.67
1026048	10174178	9.92
1030144	9951029	9.66
1034240	10022605	9.69
1038336	10169910	9.79
1042432	10174481	9.76
1046528	10210284	9.76
