N	Total Time	Average CPE
2048	23080	11.27
6144	81830	13.32
10240	99213	9.69
14336	149177	10.41
18432	206933	11.23
22528	282883	12.56
26624	259606	9.75
30720	333093	10.84
34816	511997	14.71
38912	549001	14.11
43008	444268	10.33
47104	455076	9.66
51200	494422	9.66
55296	544118	9.84
59392	638458	10.75
63488	622225	9.80
67584	694638	10.28
71680	714479	9.97
75776	776413	10.25
79872	872713	10.93
83968	833588	9.93
88064	854915	9.71
92160	907321	9.85
96256	940767	9.77
100352	1004236	10.01
104448	1043202	9.99
108544	1071122	9.87
112640	1111217	9.87
116736	1137978	9.75
120832	1256887	10.40
124928	1249525	10.00
129024	1262049	9.78
133120	1339635	10.06
137216	1430778	10.43
141312	1376026	9.74
145408	1423873	9.79
149504	1508195	10.09
153600	1516572	9.87
157696	1582563	10.04
161792	1581664	9.78
165888	1614856	9.73
169984	1709671	10.06
174080	1684538	9.68
178176	1790002	10.05
182272	1828874	10.03
186368	2111583	11.33
190464	1875928	9.85
194560	1927770	9.91
198656	1987016	10.00
202752	2012593	9.93
206848	2045820	9.89
210944	2095943	9.94
215040	2096776	9.75
219136	2156651	9.84
223232	2166608	9.71
227328	2235102	9.83
231424	2348862	10.15
235520	2378482	10.10
239616	2362950	9.86
243712	2397852	9.84
247808	2428489	9.80
251904	2707281	10.75
256000	2482998	9.70
260096	2526691	9.71
264192	2550433	9.65
268288	2604256	9.71
272384	2693034	9.89
276480	2855423	10.33
280576	2715696	9.68
284672	2751326	9.66
288768	2827931	9.79
292864	2860626	9.77
296960	2915299	9.82
301056	2924573	9.71
305152	2958713	9.70
309248	3460253	11.19
313344	3132418	10.00
317440	3127468	9.85
321536	3320466	10.33
325632	3213911	9.87
329728	3190886	9.68
333824	3301265	9.89
337920	3271939	9.68
342016	3315466	9.69
346112	3369534	9.74
350208	3398505	9.70
354304	3467948	9.79
358400	3483979	9.72
362496	3515674	9.70
366592	3570789	9.74
370688	3583979	9.67
374784	3624227	9.67
378880	3662316	9.67
382976	3801613	9.93
387072	3767051	9.73
391168	3785557	9.68
395264	3826889	9.68
399360	3860277	9.67
403456	3910598	9.69
407552	3982607	9.77
411648	4004633	9.73
415744	4050383	9.74
419840	4220610	10.05
423936	4134811	9.75
428032	4185068	9.78
432128	4216976	9.76
436224	4334561	9.94
440320	4319460	9.81
444416	4440373	9.99
448512	4402839	9.82
452608	4500822	9.94
456704	4619926	10.12
460800	4496968	9.76
464896	4550326	9.79
468992	4731219	10.09
473088	4782899	10.11
477184	4634472	9.71
481280	4663989	9.69
485376	4711888	9.71
489472	4760904	9.73
493568	4885664	9.90
497664	4817125	9.68
501760	4901880	9.77
505856	5170594	10.22
509952	4932770	9.67
514048	5000495	9.73
518144	5010551	9.67
522240	5093812	9.75
526336	5085786	9.66
530432	5133016	9.68
534528	5237509	9.80
538624	5249981	9.75
542720	5396181	9.94
546816	5309248	9.71
550912	5344882	9.70
555008	5407044	9.74
559104	5429619	9.71
563200	5712903	10.14
567296	5509567	9.71
571392	5549397	9.71
575488	5650312	9.82
579584	5630300	9.71
583680	5639844	9.66
587776	5680051	9.66
591872	5760246	9.73
595968	5900238	9.90
600064	5843048	9.74
604160	5869294	9.71
608256	5932006	9.75
612352	5943167	9.71
616448	5962540	9.67
620544	6010903	9.69
624640	6151708	9.85
628736	6082964	9.67
632832	6138512	9.70
636928	6175527	9.70
641024	6236785	9.73
645120	6273001	9.72
649216	6304661	9.71
653312	6335240	9.70
657408	6358250	9.67
661504	6413833	9.70
665600	6635697	9.97
669696	7368530	11.00
673792	6565493	9.74
677888	6613762	9.76
681984	6609201	9.69
686080	6688963	9.75
690176	6728316	9.75
694272	6828823	9.84
698368	6783295	9.71
702464	6848321	9.75
706560	6973345	9.87
710656	6966519	9.80
714752	7720985	10.80
718848	6958680	9.68
722944	7122045	9.85
727040	7132820	9.81
731136	7239912	9.90
735232	7130157	9.70
739328	7193289	9.73
743424	7365058	9.91
747520	7251478	9.70
751616	7322167	9.74
755712	7476092	9.89
759808	7345821	9.67
763904	7455966	9.76
768000	7469791	9.73
772096	7606454	9.85
776192	7545177	9.72
780288	7641926	9.79
784384	7590238	9.68
788480	7627783	9.67
792576	7685771	9.70
796672	7757955	9.74
800768	7782655	9.72
804864	7813908	9.71
808960	7824069	9.67
813056	7944353	9.77
817152	8040492	9.84
821248	8129733	9.90
825344	8135243	9.86
829440	8072096	9.73
833536	8197175	9.83
837632	8121955	9.70
841728	8270039	9.83
845824	8297831	9.81
849920	8316196	9.78
854016	8274073	9.69
858112	8776909	10.23
862208	8347673	9.68
866304	8569507	9.89
870400	8502575	9.77
874496	8457737	9.67
878592	8493680	9.67
882688	8556446	9.69
886784	8586844	9.68
890880	8696779	9.76
894976	8698053	9.72
899072	8717111	9.70
903168	8744165	9.68
907264	8800628	9.70
911360	8896513	9.76
915456	8882320	9.70
919552	8946779	9.73
923648	8959613	9.70
927744	9036702	9.74
931840	9034342	9.70
935936	9224271	9.86
940032	9115608	9.70
944128	9169460	9.71
948224	9201627	9.70
952320	9216550	9.68
956416	9277156	9.70
960512	9298137	9.68
964608	9330416	9.67
968704	9471146	9.78
972800	9496829	9.76
976896	9495417	9.72
980992	9492890	9.68
985088	9635833	9.78
989184	9567389	9.67
993280	9681477	9.75
997376	9678917	9.70
1001472	9707527	9.69
1005568	9829958	9.78
1009664	9787706	9.69
1013760	9845488	9.71
1017856	9881029	9.71
1021952	9916430	9.70
1026048	10306861	10.05
1030144	9982119	9.69
1034240	10351042	10.01
1038336	10100959	9.73
1042432	10144073	9.73
1046528	10147019	9.70
