N	Total Time	Average CPE
2048	28208	13.77
6144	79771	12.98
10240	118742	11.60
14336	167396	11.68
18432	328808	17.84
22528	339860	15.09
26624	462592	17.38
30720	572548	18.64
34816	709739	20.39
38912	813912	20.92
43008	952820	22.15
47104	1085395	23.04
51200	1174470	22.94
55296	1331887	24.09
59392	1416415	23.85
63488	1533840	24.16
67584	1694710	25.08
71680	1813597	25.30
75776	1905222	25.14
79872	2028750	25.40
83968	2155310	25.67
88064	2251359	25.57
92160	2449867	26.58
96256	2505990	26.03
100352	2644964	26.36
104448	2759979	26.42
108544	2887004	26.60
112640	3067643	27.23
116736	3720998	31.88
120832	3274666	27.10
124928	3613042	28.92
129024	3542208	27.45
133120	3631992	27.28
137216	3736771	27.23
141312	4137547	29.28
145408	4120641	28.34
149504	4085048	27.32
153600	5091438	33.15
157696	4919014	31.19
161792	4788558	29.60
165888	4948506	29.83
169984	6410237	37.71
174080	5802685	33.33
178176	5253045	29.48
182272	6237743	34.22
186368	6745631	36.20
190464	7424992	38.98
194560	6382844	32.81
198656	6780747	34.13
202752	7894630	38.94
206848	7635210	36.91
210944	9575842	45.40
215040	7662840	35.63
219136	8839090	40.34
223232	9104983	40.79
227328	10043599	44.18
231424	10820482	46.76
235520	12105668	51.40
239616	10851689	45.29
243712	14162172	58.11
247808	12674535	51.15
251904	12667373	50.29
256000	13724662	53.61
260096	13723287	52.76
264192	16108861	60.97
268288	16566990	61.75
272384	16437481	60.35
276480	18308924	66.22
280576	19343834	68.94
284672	19586897	68.81
288768	20359518	70.50
292864	21733647	74.21
296960	21414011	72.11
301056	23143522	76.87
305152	23771176	77.90
309248	24366417	78.79
313344	24847590	79.30
317440	25514304	80.38
321536	26520879	82.48
325632	29218211	89.73
329728	28783233	87.29
333824	29428428	88.16
337920	31027610	91.82
342016	33687611	98.50
346112	32410072	93.64
350208	33511318	95.69
354304	35372549	99.84
358400	37329956	104.16
362496	39613512	109.28
366592	38380524	104.70
370688	42049519	113.44
374784	41080309	109.61
378880	45611427	120.38
382976	42967647	112.19
387072	44567111	115.14
391168	46912031	119.93
395264	46476977	117.58
399360	46774371	117.12
403456	48910173	121.23
407552	52951862	129.93
411648	53201581	129.24
415744	55118990	132.58
419840	51194123	121.94
423936	54262966	128.00
428032	54766101	127.95
432128	54975066	127.22
436224	56007185	128.39
440320	56297258	127.86
444416	57469891	129.32
448512	61337389	136.76
452608	61513491	135.91
456704	60619017	132.73
460800	64112560	139.13
464896	63039150	135.60
468992	63093862	134.53
473088	64696762	136.75
477184	65094899	136.41
481280	64886881	134.82
485376	67522762	139.11
489472	68986719	140.94
493568	71182768	144.22
497664	68503629	137.65
501760	71549028	142.60
505856	74402762	147.08
509952	73974989	145.06
514048	75276304	146.44
518144	75642938	145.99
522240	79244282	151.74
526336	77442299	147.13
530432	80009609	150.84
534528	81055102	151.64
538624	82000654	152.24
542720	83048878	153.02
546816	85277350	155.95
550912	85141817	154.55
555008	87334009	157.36
559104	88098469	157.57
563200	89022296	158.07
567296	89387734	157.57
571392	91451798	160.05
575488	92119967	160.07
579584	93262692	160.91
583680	91406712	156.60
587776	95080765	161.76
591872	97276937	164.35
595968	95724388	160.62
600064	97908930	163.16
604160	98952415	163.79
608256	99966777	164.35
612352	100417745	163.99
616448	101438908	164.55
620544	103609917	166.97
624640	103325181	165.42
