N	Total Time	Average CPE
2048	19448	9.50
6144	62280	10.14
10240	104768	10.23
14336	182287	12.72
18432	233407	12.66
22528	348875	15.49
26624	466151	17.51
30720	585841	19.07
34816	723203	20.77
38912	837688	21.53
43008	987182	22.95
47104	1104730	23.45
51200	1208195	23.60
55296	1378779	24.93
59392	1432649	24.12
63488	1611282	25.38
67584	1745286	25.82
71680	1895052	26.44
75776	1963618	25.91
79872	2200923	27.56
83968	2216867	26.40
88064	2440972	27.72
92160	2430948	26.38
96256	2546416	26.45
100352	2667774	26.58
104448	2804300	26.85
108544	2932385	27.02
112640	3154979	28.01
116736	4088278	35.02
120832	3805809	31.50
124928	4297152	34.40
129024	4808559	37.27
133120	5259713	39.51
137216	4675529	34.07
141312	4356880	30.83
145408	4814160	33.11
149504	5262076	35.20
153600	5074525	33.04
157696	5233955	33.19
161792	5869156	36.28
165888	5172905	31.18
169984	5171132	30.42
174080	5303247	30.46
178176	5593733	31.39
182272	6246423	34.27
186368	6056090	32.50
190464	7678057	40.31
194560	6788922	34.89
198656	7169851	36.09
202752	8710018	42.96
206848	7903638	38.21
210944	8315725	39.42
215040	8994554	41.83
219136	9448814	43.12
223232	11417916	51.15
227328	9885231	43.48
231424	10639665	45.97
235520	11635027	49.40
239616	12172016	50.80
243712	12315232	50.53
247808	14327349	57.82
251904	13900116	55.18
256000	14361534	56.10
260096	14768223	56.78
264192	15519849	58.74
268288	17589966	65.56
272384	23835127	87.51
276480	26473956	95.75
280576	30446321	108.51
284672	21315690	74.88
288768	27127113	93.94
292864	22598542	77.16
296960	25883599	87.16
301056	24168353	80.28
305152	23371339	76.59
309248	25152953	81.34
313344	27557551	87.95
317440	27484583	86.58
321536	28169350	87.61
325632	29222745	89.74
329728	29263125	88.75
333824	32303124	96.77
337920	32028227	94.78
342016	32572865	95.24
346112	33792807	97.64
350208	34800447	99.37
354304	36737542	103.69
358400	37653729	105.06
362496	39337227	108.52
366592	39361127	107.37
370688	42414486	114.42
374784	41708104	111.29
378880	44157797	116.55
382976	44938711	117.34
387072	44850462	115.87
391168	46827612	119.71
