N	Total Time	Average CPE
2048	19590	9.57
6144	60420	9.83
10240	104527	10.21
14336	204425	14.26
18432	272609	14.79
22528	355020	15.76
26624	566860	21.29
30720	586395	19.09
34816	709916	20.39
38912	841483	21.63
43008	957707	22.27
47104	1078421	22.89
51200	1240948	24.24
55296	1318006	23.84
59392	1444768	24.33
63488	1557741	24.54
67584	1803924	26.69
71680	1951887	27.23
75776	1948510	25.71
79872	2098034	26.27
83968	2281858	27.18
88064	2334559	26.51
92160	2516183	27.30
96256	2589691	26.90
100352	2765706	27.56
104448	2857161	27.35
108544	2923181	26.93
112640	3339762	29.65
116736	3245488	27.80
120832	3421098	28.31
124928	3440912	27.54
129024	3749383	29.06
133120	4983383	37.44
137216	4368462	31.84
141312	4627920	32.75
145408	5243499	36.06
149504	4638807	31.03
153600	4618857	30.07
157696	4529520	28.72
161792	5441889	33.64
165888	5631264	33.95
169984	4904908	28.86
174080	6460449	37.11
178176	5779733	32.44
182272	5885364	32.29
186368	5789352	31.06
190464	6538697	34.33
194560	6368868	32.73
198656	7097909	35.73
202752	7572093	37.35
206848	9226214	44.60
210944	13768443	65.27
215040	16898850	78.58
219136	10057574	45.90
223232	10487584	46.98
227328	10471365	46.06
231424	10114898	43.71
235520	11349835	48.19
239616	11601713	48.42
243712	12497655	51.28
247808	12003280	48.44
251904	12987988	51.56
256000	16757463	65.46
260096	14841859	57.06
264192	15033912	56.91
268288	15443104	57.56
272384	17204109	63.16
276480	18319712	66.26
280576	18644959	66.45
284672	20205963	70.98
288768	20388140	70.60
292864	21073625	71.96
296960	22158056	74.62
301056	22511853	74.78
305152	24113351	79.02
309248	25414877	82.18
313344	25399771	81.06
317440	26612351	83.83
321536	26697508	83.03
325632	28859148	88.63
329728	29554790	89.63
333824	30418122	91.12
337920	33261071	98.43
342016	30970420	90.55
346112	33520093	96.85
350208	34279868	97.88
354304	35964477	101.51
358400	39965885	111.51
362496	38777459	106.97
366592	38936555	106.21
370688	40681094	109.74
374784	41097988	109.66
378880	41709337	110.09
382976	41375322	108.04
387072	44200930	114.19
391168	45263717	115.71
395264	46659462	118.05
399360	46729692	117.01
403456	48082983	119.18
407552	53236503	130.63
411648	54087947	131.39
415744	55750642	134.10
419840	50704104	120.77
423936	53379504	125.91
428032	53808664	125.71
432128	56769893	131.37
436224	57537037	131.90
440320	57537803	130.67
444416	58203761	130.97
448512	60118047	134.04
452608	60591405	133.87
456704	61417521	134.48
460800	62364775	135.34
464896	62970120	135.45
468992	64380192	137.27
473088	64928650	137.24
477184	66085554	138.49
481280	66554570	138.29
485376	68886612	141.92
489472	68727380	140.41
493568	70314152	142.46
497664	70624827	141.91
501760	73562110	146.61
505856	74378157	147.03
509952	75719467	148.48
514048	74498074	144.92
518144	75976027	146.63
522240	77216242	147.86
526336	78400931	148.96
530432	77714223	146.51
534528	80851285	151.26
538624	82266649	152.73
542720	81826061	150.77
546816	83563311	152.82
550912	84649632	153.65
555008	83724531	150.85
559104	87437848	156.39
563200	89389868	158.72
567296	91361669	161.05
571392	90197121	157.86
575488	91488147	158.97
579584	93446517	161.23
583680	93579449	160.33
587776	92098586	156.69
591872	97131426	164.11
595968	97310448	163.28
600064	98644938	164.39
604160	99042278	163.93
608256	99188157	163.07
612352	100628560	164.33
616448	101181115	164.14
620544	102411030	165.03
624640	104255321	166.90
628736	104656890	166.46
632832	105517657	166.74
636928	108189569	169.86
641024	107474789	167.66
645120	110242518	170.89
649216	110112190	169.61
653312	109984038	168.35
657408	111037944	168.90
661504	112628311	170.26
665600	113073324	169.88
669696	115194216	172.01
673792	116481547	172.87
677888	116707752	172.16
681984	118077453	173.14
686080	119620499	174.35
690176	121071795	175.42
694272	120451223	173.49
698368	122688212	175.68
702464	124529328	177.28
706560	123900630	175.36
710656	126765220	178.38
714752	125692336	175.85
718848	126586789	176.10
722944	129565816	179.22
727040	128972469	177.39
731136	130064164	177.89
735232	132126909	179.71
739328	132777985	179.59
743424	136870120	184.11
747520	135829902	181.71
751616	135141802	179.80
755712	137721025	182.24
759808	137716007	181.25
763904	139703518	182.88
768000	140490876	182.93
772096	141376584	183.11
776192	142171393	183.17
780288	142073977	182.08
784384	144771938	184.57
788480	147462929	187.02
792576	145832328	184.00
796672	147690040	185.38
800768	148320044	185.22
804864	148541706	184.56
808960	151452698	187.22
813056	150728489	185.39
817152	155958769	190.86
821248	150433428	183.18
825344	154216585	186.85
829440	155809707	187.85
833536	156635398	187.92
837632	158446178	189.16
841728	157880374	187.57
845824	160424839	189.67
849920	159716573	187.92
854016	162229997	189.96
858112	162260003	189.09
862208	163984646	190.19
866304	165333258	190.85
870400	165361353	189.98
874496	165801044	189.60
878592	168297620	191.55
882688	169095029	191.57
886784	171755343	193.68
890880	170461633	191.34
894976	173653946	194.03
899072	171969881	191.27
903168	175693241	194.53
907264	176220958	194.23
911360	175364252	192.42
